Document_Num,Dominant_Topic,Topic_%_Contrib,Topic_Keywords,Text,Is_Outlier,Dom_Topics_Num,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_0_Perc,Topic_1_Perc,Topic_2_Perc,Topic_3_Perc,Topic_4_Perc,Topic_5_Perc
11,0,0.89,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",allegations revolve around land issues evicted agricultural land elements intimidation local authorities process resolving disagreements aforementioned land dispute destroyed irrigation built government,False,1,1,0,0,0,0,0,0.89,0.01,0.02,0.01,0.04,0.04
12,0,0.4,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",failure carry corporate social responsibility regard empowerment building sustainable partnership,False,2,1,0,1,0,0,0,0.4,0.02,0.23,0.04,0.1,0.21
13,0,0.41,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",allegation pertaining plasma allocation ratio 80 20 based plasma agreement affected parties received 20 share revenue generated plasma land since 2010 till date,False,2,1,0,0,0,0,1,0.41,0.04,0.07,0.07,0.06,0.35
14,0,0.36,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",yet fulfill commitment allocate plasma land,False,2,1,0,0,0,0,1,0.36,0.05,0.08,0.08,0.07,0.36
15,5,0.52,"hcv, land, area, forest, npp, new, local, rspos, 2013, conservation",respondents development allocation plasma plantations accordance agreement mou kelinjau ulu village,False,1,0,0,0,0,0,1,0.29,0.03,0.06,0.06,0.04,0.52
16,5,0.57,"hcv, land, area, forest, npp, new, local, rspos, 2013, conservation",representative crude producer allegations regards unsustainable operations respondents plant causing severe air noise pollution disrupting affecting daily lives,False,1,0,0,0,0,0,1,0.09,0.03,0.22,0.08,0.02,0.57
17,4,0.95,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",allegations raised complaint follows respond unions requests hearing bipartite meeting matter pertaining freedom association interrogated members f lomenik hereinafter referred union intimidated workers resigning union restricted union conducting activity issuing letter prohibiting union distributing groceries members conjunction may day transferred unions chairman secretary different transfers accordance applicable laws regulations asserted deliberate act obstruct unions activity,False,1,0,0,0,0,1,0,0.02,0.0,0.01,0.0,0.95,0.01
18,4,0.98,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",decrease number workers union due actions preventing union conducting activity wrongful dismissal termination employment bad working conditions supply work equipment tools,False,1,0,0,0,0,1,0,0.01,0.0,0.0,0.0,0.98,0.0
19,0,0.97,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",conducted land clearing outside boundaries hak guna usaha hgu land affected individuals land purpose development plantation filed police affected individuals led obtaining status suspects police force result individuals protesting respondents land clearing activities,False,1,1,0,0,0,0,0,0.97,0.0,0.01,0.0,0.01,0.02
20,0,0.94,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",allegations made relation modification property deeds remove areas identified government lands environmental protection zones lawsuit owners intimidate local people activities negative impact natural environment lead degradation deforestation,False,1,1,0,0,0,0,0,0.94,0.0,0.01,0.0,0.02,0.02
21,4,0.94,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",pertaining labour related issues wages optimal health services safety bpjs registered unilateral termination rights workers honoured intimidation expanded job scopes workers harvesters workers working 5 years converted permanent workers instead working days reduced transparent determining lembaga kerjasama lks bipartite amount ffb delivered factory mill,False,1,0,0,0,0,1,0,0.03,0.0,0.01,0.01,0.94,0.01
22,4,0.96,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",allegations made pertaining rights workers working conditions safety concerns,False,1,0,0,0,0,1,0,0.02,0.0,0.01,0.0,0.96,0.01
23,4,0.98,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",prosecution union workers order lay weaken union infringement constitutional rights affecting right union association dismissals labour contracts fair cause,False,1,0,0,0,0,1,0,0.01,0.0,0.0,0.0,0.98,0.0
24,4,1.0,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",violates fundamental labour rights employees bad work conditions unjustified dismissals mistreatment false unfounded suspicions uses retaliation farm workers human rights defenders uses figure blacklist designate employees rehired uses organic fertilizer generates pestilent odour flies affecting communities,False,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0
25,5,0.57,"hcv, land, area, forest, npp, new, local, rspos, 2013, conservation",cleared high conservation value hcv areas one subsidiaries farinda bersaudara fdb tsh resources berhad submitted self declaration secretariat declare liability unintentional clearing hcv areas fdb undertake responsibility liability secretariat responded initiating independent ground verification conducted independent assessors pramitama bayu saputro nurul iman suansa july 2021 verify self declaration made,False,1,0,0,0,0,0,1,0.22,0.04,0.06,0.07,0.03,0.57
26,0,0.98,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",allegations formally accepted complaint follows 1 control influence activities ibzi holdings sdn bhd subsidiaries ibzi plantation sdn bhd aa sawit sdn bhd disclosed 2 disclosed total landbank controlled 3 mados holdings sdn bhd conducted land clearing prior hcv assessment approved assessor 4 potential racp liabilities currently extend non compliant land clearing hcvs hcs conducted related entities land clearing within related entities concessions conducted prior hcv assessment approved assessor and5 stated primary beneficial owner madoss holdings sdn bhd sultan state malaysia using third party proxy nadi mesra sdn bhd develop plantations hcv assessments conducted prior land clearing,False,1,1,0,0,0,0,0,0.98,0.0,0.0,0.0,0.0,0.01
27,5,0.29,"hcv, land, area, forest, npp, new, local, rspos, 2013, conservation",illegally controlling kkpa primary member cooperative credit objects well violating kkpa agreement embezzling funds fraud development plantations violating agreement related sale farmers fruits disbursed distributed members illegal bailout funds,False,2,1,0,0,0,0,1,0.29,0.02,0.29,0.04,0.06,0.29
28,0,0.98,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",amongst allegations fact identified follows forced members give rights land developed plantation thepromises made fulfilled around 2015 carried replanting deep peat areas area 4 000 ha coordination sungai enau village government head farmers respond communitys dispute despite communitys request meet resolve issues raised continues source produce land involving police police sent forced ordered workers continue harvesting argument police one police officers kicked individual recording video situation absent socialisation meeting relevant stakeholder officials despite invited sungai enau village government,False,1,1,0,0,0,0,0,0.98,0.0,0.0,0.0,0.0,0.01
29,5,0.43,"hcv, land, area, forest, npp, new, local, rspos, 2013, conservation",mados holdings sdn bhd conducted land clearing prior hcv assessment approved assessor provides following information according gis data published global forest watch 291 ha identified tree cover loss within 6 madoss holdings sdn bhd estates 2016 2017 prior ratification p c 2018 according gis data published global forest watch 230 ha identified tree cover loss within 6 madoss holding sdn bhd estates 2018 ratification p c 2018,False,2,0,0,0,1,0,1,0.12,0.11,0.08,0.24,0.03,0.43
30,5,0.44,"hcv, land, area, forest, npp, new, local, rspos, 2013, conservation",1 complainants conducted land expansion 167 hectares imbo putui customary forest 2 complainants respondents used operational truck passing customary forest disturbing noise dust pollution disturbing growth trees along road cutting animal paths bear deer pangolin snake monitor lizard monkey cutting water paths 3 complainants action planting riverbank even middle river changed waterway planted former river stockpiled 4 complainants taking responsibility social economic ecological damage occurred imbo putui customary forest petapahan village 5 complainants changed natural shape rivers made straight 6 complainants destroying downstream river ecosystem imbo putui customary forest fertilizers pesticides and7 complainants claimed imbo putui customary forest conservation area hcv,False,2,1,0,0,0,0,1,0.41,0.01,0.07,0.03,0.03,0.44
31,2,0.64,"eof, forest, mill, plantation, illegal, gar, plantations, bukit, ffb, supplier",supply cpo ffb unsustainable sources supplies ffb cpo kapuasindo industri subsidiary kencana non member series conflicts local violations standards,False,1,0,0,1,0,0,0,0.07,0.04,0.64,0.09,0.04,0.11
32,0,0.49,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",1 koperasi koling hapakat use plasma area accordance permission allocated 2 isalleged transfer ownership owned shm sertifikat hak milik koperasi koling hapakat tothe,False,2,1,0,0,0,0,1,0.49,0.03,0.06,0.05,0.06,0.3
33,4,0.92,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",embezzlement severance payment two retired workers head administration,False,1,0,0,0,0,1,0,0.04,0.0,0.02,0.01,0.92,0.02
34,5,0.42,"hcv, land, area, forest, npp, new, local, rspos, 2013, conservation",pay full land compensation six 6 individuals b unilaterally marked cost plasma development refer relevant regulations deciding cost plasma development c pay land compensation land identified hcv hcs area andd provide complete map along coordinates land handed six 6 individuals,False,2,1,0,0,0,0,1,0.34,0.04,0.07,0.08,0.05,0.42
35,5,0.52,"hcv, land, area, forest, npp, new, local, rspos, 2013, conservation",operating area luak talang parit obtaining prior consent b develop plasma plantations c internal grievance mechanism stakeholders access,False,1,0,0,0,0,0,1,0.31,0.03,0.06,0.05,0.04,0.52
36,4,0.98,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",prohibits workers conduct union activities protest regards omnibus law b conducted unilateral termination ofemployment 2 two permata hijau sawit workers andc socialize regulations peraturan perusahaan workers damai nusa sekawan,False,1,0,0,0,0,1,0,0.01,0.0,0.0,0.0,0.98,0.0
37,0,0.45,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",ownership control influence called non member declared respondents membership ownership control influence indonesian b subsidiary british virgin islands registered name c declared part respondents membership via 11 subsidiaries violated principles criteria deforestation peatland degradation using lands plantation fpic river pollution unilateral layoffs workers via b violated principles criteria deforestation peatland degradation using lands plantation fpic river pollution violating ndpe commitments principles criteria code conduct membership rules complainants control influence known non member declared respondents membership,False,2,1,0,0,0,0,1,0.45,0.02,0.15,0.03,0.06,0.3
38,2,0.57,"eof, forest, mill, plantation, illegal, gar, plantations, bukit, ffb, supplier",operating protected forest area license ministry forestry operating hgu,False,1,0,0,1,0,0,0,0.1,0.02,0.57,0.04,0.03,0.24
39,4,0.9,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",daily casual workers paid minimum wage set musi rawas district government daily casual workers protected remedy available work accidents daily casual workers equipped personal protection equipment ppe equipped working tools daily casual workers receive festive allowance accordance regulation daily casual workers hired third party get pay slip amount written payment receipt formal stamp name party rendered payment,False,1,0,0,0,0,1,0,0.05,0.01,0.02,0.01,0.9,0.02
40,5,0.88,"hcv, land, area, forest, npp, new, local, rspos, 2013, conservation",domestic wastewater treatment plant oleochemical equalization pool built concrete sludge oleochemical wastewater treatment plant never transported designated waste processing agency dispose liquid waste permit inconsistency volume hazardous waste transported designated waste processing agency sparring equipment yet installed wastewater treatment plant certified wastewater treatment operational responsible water pollution control officer onsite processing fresh fruit bunches non certified plantations,False,1,0,0,0,0,0,1,0.04,0.01,0.04,0.03,0.01,0.88
41,4,0.97,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",unilateral pay cut poor living conditions labourers intimidation workers forced labour lack transparent grievance system,False,1,0,0,0,0,1,0,0.02,0.0,0.01,0.0,0.97,0.01
42,5,0.81,"hcv, land, area, forest, npp, new, local, rspos, 2013, conservation",complaint lodged result comments given respondents npp consultation resolved allegations withheld two important documents made available stakeholders principle transparency documents original draft 2011 hcv assessment respondents legal review commissioned secretariat,False,1,0,0,0,0,0,1,0.11,0.01,0.03,0.02,0.01,0.81
43,4,0.96,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",non compliance labour rights laws anti union practices employees provided sufficient protection equipment,False,1,0,0,0,0,1,0,0.02,0.0,0.01,0.0,0.96,0.01
44,0,0.86,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",acquired land develop ghana destroyed farmers rubber plantation willing pay damages caused rubber farmers still cutting rubber farms plant remaining uncultivated lands taken respondents project shown interest resolving issues despite several complaints made complainants,False,1,1,0,0,0,0,0,0.86,0.01,0.02,0.01,0.05,0.05
45,4,0.93,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",unauthorised regulation flat rate overtime premium copy collective bargaining agreement furnished workers workers working night shift provided extra food inadequate unsanitary worker’s housing daily casual workers provided written employment agreement daily casual workers provided employment security bpjs ketenagakerjaan card complicated healthcare insurance bpjs kesehatan paid sick day processes unfair dismissal termination unjustified reason participating union activities limitation worker’s right organize outside established independent non affiliated trade union,False,1,0,0,0,0,1,0,0.03,0.0,0.01,0.01,0.93,0.01
46,1,0.89,"earth, mighty, ha, rapid, concession, response, deforestation, indications, forest, cleared",deforestation land clearing including high conservation value forest within respondents concession construction development road cutting across one major wildlife corridors connecting two river systems berenga tempadung rivers anddevelopment jetty includes reclamation sea floor long 590 meters,False,1,0,1,0,0,0,0,0.01,0.89,0.01,0.08,0.0,0.01
47,5,0.87,"hcv, land, area, forest, npp, new, local, rspos, 2013, conservation",dischargedimmense quantities toxic chemicals hazardous waste impacted nearby mangrove ecosytem manchn guamuchal nature reserve local marine species issue raised health concerns local communities rely water source water food supply e g fish shellfish etc may poisoned toxic waste,False,1,0,0,0,0,0,1,0.04,0.01,0.04,0.03,0.01,0.87
48,4,0.92,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",termination employment severance related compensation written employment agreement daily casual workers national healthcare insurance bpjs kesehatan employee social security bpjs ketenagakerjaan daily casual workers bonus extra benefits allowance stipulated cba daily casual workers insufficient religious festive allowance daily casual workers ppe provided,False,1,0,0,0,0,1,0,0.04,0.0,0.02,0.01,0.92,0.02
49,0,0.83,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",1 modification property deeds remove areas identified government environmental protection zone 2 employees paid minimum wage provided protection equipment given workers benefits 3 non compliance labour laws 4 threatening workers suppress information auditors 5 bribing workers government agencies 6 manipulation scale systems 7 falsification data 8 operating environmental licenses,False,1,1,0,0,0,0,0,0.83,0.01,0.04,0.01,0.04,0.08
50,5,0.85,"hcv, land, area, forest, npp, new, local, rspos, 2013, conservation",untreated wastewater disposed river stream,False,1,0,0,0,0,0,1,0.04,0.01,0.04,0.04,0.01,0.85
51,0,0.87,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",following initial diagnosis process allegations accepted complaint follows 1 commenced process request water concession corpamag autonomous corporation magdalena asked technical reports facilitate aforementioned request however filed request directly corpamag sending 2 followed request technical complete 2nd step corpamag insisted sending technical directly corpamag refused due lack trust upon receiving reviewing intentionally omitted draw water canal favors neighboring crop 3 disagreements plantation boundaries complainants ex husbands plantation land dispute alerted issue receive response take action resolve land dispute even informed 4 harassed intimidated sought explanation resolution,False,1,1,0,0,0,0,0,0.87,0.0,0.02,0.01,0.02,0.07
52,2,0.95,"eof, forest, mill, plantation, illegal, gar, plantations, bukit, ffb, supplier",allegations subsidiaries located central kalimantan operate plantations permits never force law employees involved payment bribes provincial officials central kalimantan,False,1,0,0,1,0,0,0,0.01,0.0,0.95,0.01,0.01,0.02
53,5,0.61,"hcv, land, area, forest, npp, new, local, rspos, 2013, conservation",land fires occurred august conservation area within respondent’s hgu covering area approximately 12 hectares blocked river flow within hgu using heavy equipment hence damaging rivers altering function numerous owned plantations public cemeteries within respondent’s hgu area yet enclaved planted peatland within hgu area planted river course areas sungai bengkarai sungai air hitam sungai napoh sungai peragaian sungai merbabu sungai batang merah although signage indicating considered conservation areas failed respond grievances suggestion,False,1,0,0,0,0,0,1,0.07,0.04,0.11,0.15,0.02,0.61
54,4,0.89,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",unresponsive cases workplace accidents experienced workers instance failed promptly submit claim bpjs ketenagakerjaan least one worker daily casual workers registered bpjs kesehatan bpjs healthcare bpjs ketenagakerjaan bpjs employment security fails furnish pay slips workers health care facility provided far home workers ensure worker’s rights associate union management members workers working core work employed definite time employment agreement pkwt scheme instead indefinite time employment agreement pkwtt furnished appointment letters prior written indefinite time employment agreement pkwtt daily casual workers provided written employment agreement workers work overtime 3 three hours per day 14 fourteen hours per week failed establish regulations peraturan perusahaan employed workers daily casual workers 3 three years ensure legal certainty workers event expiration termination employment relationship due death redundancy pension resignation fails provide personal protective equipment ppe workers working respondent’s plantation area despite fact obtained health safety management system certification failed provide festivity allowance tunjangan hari raya workers including daily casual workers provides insufficient housing workers daily casual workers provided natural allowance rice,False,1,0,0,0,0,1,0,0.05,0.01,0.02,0.01,0.89,0.02
55,5,0.86,"hcv, land, area, forest, npp, new, local, rspos, 2013, conservation",planted trees outside hgu respondents planted trees edge river resulted damage watershed never watered road traversed ffb cpo transport trucks affected health two villages due dust mills chimney emits black smoke causes air pollution polluting river water surrounding settlement caused liquid waste mills provide proper social assistance local,False,1,0,0,0,0,0,1,0.04,0.01,0.05,0.04,0.01,0.86
56,2,0.95,"eof, forest, mill, plantation, illegal, gar, plantations, bukit, ffb, supplier",non transparency landowners ewusiejoe minutes provided meeting norpalm management information landowners arrival inspectorateteam enable participate express concerns information landowners demarcation made norpalm ghana ltd documents provided payments monies landowners fully made,False,1,0,0,1,0,0,0,0.01,0.0,0.95,0.01,0.01,0.02
57,0,0.73,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",invasion forcible entry ovre eku land presco plc,False,1,1,0,0,0,0,0,0.73,0.02,0.04,0.02,0.09,0.1
58,4,0.94,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",claims wrongfully terminated 2 july medical certificates accepted lieu absence work claims monthly salary remitted 3 consecutive months,False,1,0,0,0,0,1,0,0.03,0.0,0.01,0.01,0.94,0.01
59,5,0.95,"hcv, land, area, forest, npp, new, local, rspos, 2013, conservation",socfin indonesia used land apporoximately 900 meters many years water pipe line bilah river use mill workers houses consent local,False,1,0,0,0,0,0,1,0.02,0.0,0.01,0.01,0.0,0.95
60,4,0.88,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",allegation 2 daily workers died due accident happened 23 february 2018 victim rights consist death insurance work accident insurance paid bilah plantido breach p c code 1 2 4 6,False,1,0,0,0,0,1,0,0.06,0.01,0.02,0.01,0.88,0.02
61,0,0.87,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",major unlawful invasion forceful take local farm lands using force brutality consistently harass intimidate arrest main defenseless law abiding members charity farming local farm lands ovre abraka bid illegally acquire take local farm land cause massive destruction cavassa groundnut plants nursery stages knowledge consent client,False,1,1,0,0,0,0,0,0.87,0.01,0.02,0.01,0.05,0.05
62,4,0.99,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",50 workers unjustifiably dismissed,False,1,0,0,0,0,1,0,0.01,0.0,0.0,0.0,0.99,0.0
63,5,0.77,"hcv, land, area, forest, npp, new, local, rspos, 2013, conservation",sri ganda dissapointed towards unico desa plantation regarding plan utilize area demarcated conservation area address water issues village,False,1,0,0,0,0,0,1,0.06,0.02,0.08,0.05,0.01,0.77
64,4,0.94,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",salary fraud 7 laborers festive holidays bonus day laborers,False,1,0,0,0,0,1,0,0.03,0.0,0.01,0.01,0.94,0.01
65,4,0.93,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",temporary workers contract issues wages overwork,False,1,0,0,0,0,1,0,0.03,0.0,0.01,0.01,0.93,0.01
66,4,0.99,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",summary allegations follows 1 committed discriminatory acts againts labour union members including termination employment witholding bonuses workers associated labour union 2 failed provide pay slips workers 3 forced workers work holidays instances pay 4 discriminated female workers layoffs compensation took place april 2018 female workers age 35 and5 exploits female workers unilaterally increased workloads additional pay,False,1,0,0,0,0,1,0,0.01,0.0,0.0,0.0,0.99,0.0
67,4,0.88,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",lack adequate health safety equipmentlabourer died due lack safety equipmentno festive holidays temporary workers,False,1,0,0,0,0,1,0,0.06,0.01,0.02,0.01,0.88,0.02
68,2,0.59,"eof, forest, mill, plantation, illegal, gar, plantations, bukit, ffb, supplier",1 sourcing ffb unsustainable origin 2 failure conduct sia,False,1,0,0,1,0,0,0,0.07,0.05,0.59,0.12,0.04,0.13
69,1,0.97,"earth, mighty, ha, rapid, concession, response, deforestation, indications, forest, cleared",allegedlyusing area dangku wildlife reserve sm approx 2 600 ha production forest area hp approx 3 200 ha,False,1,0,1,0,0,0,0,0.0,0.97,0.0,0.02,0.0,0.0
70,3,0.43,"deforestation, gar, linked, chain, jaya, supply, mighty, earth, rapid, response",fpic process eia sia pollution,False,2,0,0,0,1,0,1,0.06,0.07,0.12,0.43,0.02,0.29
71,4,0.9,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",minimum wage wage withholding deduction occupational hazard unsafe working conditions exposure chemicals,False,1,0,0,0,0,1,0,0.05,0.01,0.02,0.01,0.9,0.02
72,4,0.92,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",allegations termination employment smart tbk kebun adi pati severance payment,False,1,0,0,0,0,1,0,0.04,0.0,0.02,0.01,0.92,0.02
73,0,0.86,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",allegation presco plc nigeria consent compensation invaded farmland destroyed crops properties thereby depriving main source livelihood legal actions court injunctions ignored presco plc,False,1,1,0,0,0,0,0,0.86,0.01,0.02,0.01,0.05,0.05
74,2,0.34,"eof, forest, mill, plantation, illegal, gar, plantations, bukit, ffb, supplier",allegation 1 violation code conduct range fundamental grievous ways involvement control ownership operational development four plantation papua 2 megakarya jaya raya controlled hsa cleared estimated 4 000 ha forest plantations papua 3 members based malaysia indonesia complaint involves involvement four plantation papua megakarya jaya raya mjr fofi jair districts boven digoel papua indonesia kartika cipta pratama kcp fofi jair districts boven digoel papua indonesia energi samudera kencana esk mandobo fofi jair districts boven digoel papua indonesia graha kencana mulia gkm fofi jair districts boven digoel papua indonesia,False,2,0,0,1,0,0,1,0.23,0.02,0.34,0.04,0.05,0.3
75,4,0.75,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",allegation complaint made five member referred violation membership rule members comply 6th march 2017 part hayel saeed anam hsa still separate membership five became members may 2009 august 2014,False,1,0,0,0,0,1,0,0.15,0.01,0.03,0.01,0.75,0.04
76,0,0.75,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",allegation expansion land approximately 150 ha destruction local farm owned kelompok tani penghijauan tingang menteng deny compensation,False,1,1,0,0,0,0,0,0.75,0.02,0.04,0.02,0.06,0.12
77,0,0.78,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",allegation criminal land grabbing activities breach rules criminal land grabbing activities breach rules indigenous abraka kingdom,False,1,1,0,0,0,0,0,0.78,0.01,0.03,0.02,0.09,0.07
78,4,0.88,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",labourer died due fertiliser poisoning,False,1,0,0,0,0,1,0,0.06,0.01,0.02,0.01,0.88,0.02
79,4,0.96,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",terminated workers violation indonesian employment law,False,1,0,0,0,0,1,0,0.02,0.0,0.01,0.0,0.96,0.01
80,1,0.98,"earth, mighty, ha, rapid, concession, response, deforestation, indications, forest, cleared",shadow clearing lands,False,1,0,1,0,0,0,0,0.0,0.98,0.0,0.01,0.0,0.0
81,2,0.84,"eof, forest, mill, plantation, illegal, gar, plantations, bukit, ffb, supplier",golden veroleum liberia majority owned subsidiary gar withdrawn complaints upheld cp appeal complaint directed majority owner gar publicly endorsed withdrawal gvl,False,1,0,0,1,0,0,0,0.04,0.01,0.84,0.02,0.03,0.05
82,0,0.39,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",dispute regarding plasma cooperation local,False,2,1,0,0,0,0,1,0.39,0.05,0.07,0.08,0.06,0.35
83,0,0.78,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",developed nucleus inti estate customary land prior informed consent nagari simpang tigo kota baru land acquisition contested right utilization certificate hak guna usaha “hgu” obtained development said land prior informed consent provided adequate clear information plasma plantation area allocated indigenous luhak saparampek nagari simpang tigo kota baru used intimidation criminalisation indigenous communities luhak separampek nagari kanalin course communities claiming customary rights rights plasma development unilaterally determined representation indigenous communities nagari kinali dialogue include participation communities course conducting hcv assessment effective internal grievance mechanism accessible therefore information regarding way send complaint,False,1,1,0,0,0,0,0,0.78,0.01,0.04,0.01,0.02,0.14
84,0,0.58,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",allegation commenced planting activities proper consent local asam besar west kalimantan,False,1,1,0,0,0,0,0,0.58,0.02,0.05,0.03,0.03,0.3
