Document_Num,Dominant_Topic,Topic_%_Contrib,Topic_Keywords,Text,Is_Outlier,Dom_Topics_Num,Topic_0_Perc,Topic_1_Perc,Topic_2_Perc,Topic_3_Perc,Topic_4_Perc,Topic_5_Perc,Topic_0_Indicate,Topic_1_Indicate,Topic_2_Indicate,Topic_3_Indicate,Topic_4_Indicate,Topic_5_Indicate
15,5,0.44794179867092876,"eof, forest, mill, illegal, gar, plantation, bukit, plantations, ffb, grievance",respondents development allocation plasma plantations accordance agreement mou kelinjau ulu village,False,6,1.94,1.92,12.55,3.74,35.05,44.79,1,1,1,1,1,1
16,2,0.5273784439198033,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",representative crude producer allegations regards unsustainable operations respondents plant causing severe air noise pollution disrupting affecting daily lives,False,6,4.42,1.92,52.74,3.91,30.54,6.46,1,1,1,1,1,1
17,0,0.9752581281863305,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",allegations raised complaint follows respond unions requests hearing bipartite meeting matter pertaining freedom association interrogated members f lomenik hereinafter referred union intimidated workers resigning union restricted union conducting activity issuing letter prohibiting union distributing groceries members conjunction may day transferred unions chairman secretary different transfers accordance applicable laws regulations asserted deliberate act obstruct unions activity,False,6,97.53,0.18,1.04,0.27,0.61,0.37,1,1,1,1,1,1
18,0,0.9814335560995902,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",decrease number workers union due actions preventing union conducting activity wrongful dismissal termination employment bad working conditions supply work equipment tools,False,6,98.14,0.15,0.73,0.22,0.46,0.29,1,1,1,1,1,1
19,2,0.9056922491162118,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",conducted land clearing outside boundaries hak guna usaha hgu land affected individuals land purpose development plantation filed police affected individuals led obtaining status suspects police force result individuals protesting respondents land clearing activities,False,6,0.9,0.37,90.57,0.68,5.74,1.75,1,1,1,1,1,1
20,2,0.7697183617027009,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",allegations made relation modification property deeds remove areas identified government lands environmental protection zones lawsuit owners intimidate local people activities negative impact natural environment lead degradation deforestation,False,6,2.83,1.02,76.97,1.91,13.4,3.87,1,1,1,1,1,1
21,0,0.9453880731022994,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",pertaining labour related issues wages optimal health services safety bpjs registered unilateral termination rights workers honoured intimidation expanded job scopes workers harvesters workers working 5 years converted permanent workers instead working days reduced transparent determining lembaga kerjasama lks bipartite amount ffb delivered factory mill,False,6,94.54,0.47,2.05,0.69,1.37,0.88,1,1,1,1,1,1
22,0,0.9714815752032873,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",allegations made pertaining rights workers working conditions safety concerns,False,6,97.15,0.22,1.15,0.32,0.71,0.44,1,1,1,1,1,1
23,0,0.9842063584227589,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",prosecution union workers order lay weaken union infringement constitutional rights affecting right union association dismissals labour contracts fair cause,False,6,98.42,0.13,0.63,0.19,0.39,0.25,1,1,1,1,1,1
24,0,0.9795208355512438,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",violates fundamental labour rights employees bad work conditions unjustified dismissals mistreatment false unfounded suspicions uses retaliation farm workers human rights defenders uses figure blacklist designate employees rehired uses organic fertilizer generates pestilent odour flies affecting communities,False,6,97.95,0.15,0.85,0.23,0.51,0.31,1,1,1,1,1,1
25,2,0.5073195386488785,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",cleared high conservation value hcv areas one subsidiaries farinda bersaudara fdb tsh resources berhad submitted self declaration secretariat declare liability unintentional clearing hcv areas fdb undertake responsibility liability secretariat responded initiating independent ground verification conducted independent assessors pramitama bayu saputro nurul iman suansa july 2021 verify self declaration made,False,6,3.56,1.79,50.73,3.18,27.98,12.77,1,1,1,1,1,1
26,2,0.8135151169961627,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",allegations formally accepted complaint follows 1 control influence activities ibzi holdings sdn bhd subsidiaries ibzi plantation sdn bhd aa sawit sdn bhd disclosed 2 disclosed total landbank controlled 3 mados holdings sdn bhd conducted land clearing prior hcv assessment approved assessor 4 potential racp liabilities currently extend non compliant land clearing hcvs hcs conducted related entities land clearing within related entities concessions conducted prior hcv assessment approved assessor and5 stated primary beneficial owner madoss holdings sdn bhd sultan state malaysia using third party proxy nadi mesra sdn bhd develop plantations hcv assessments conducted prior land clearing,False,6,1.62,0.61,81.35,1.11,11.61,3.7,1,1,1,1,1,1
27,4,0.43830942002943846,"river, sustainable, plantation, rspos, forest, waste, use, member, water, 2013",illegally controlling kkpa primary member cooperative credit objects well violating kkpa agreement embezzling funds fraud development plantations violating agreement related sale farmers fruits disbursed distributed members illegal bailout funds,False,6,1.63,1.41,12.9,2.76,43.83,37.47,1,1,1,1,1,1
28,2,0.9464292229942557,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",amongst allegations fact identified follows forced members give rights land developed plantation thepromises made fulfilled around 2015 carried replanting deep peat areas area 4 000 ha coordination sungai enau village government head farmers respond communitys dispute despite communitys request meet resolve issues raised continues source produce land involving police police sent forced ordered workers continue harvesting argument police one police officers kicked individual recording video situation absent socialisation meeting relevant stakeholder officials despite invited sungai enau village government,False,6,0.62,0.21,94.64,0.39,3.13,1.0,1,1,1,1,1,1
29,1,0.875908173936426,"earth, mighty, ha, rapid, response, concession, deforestation, indications, forest, cleared",mados holdings sdn bhd conducted land clearing prior hcv assessment approved assessor provides following information according gis data published global forest watch 291 ha identified tree cover loss within 6 madoss holdings sdn bhd estates 2016 2017 prior ratification p c 2018 according gis data published global forest watch 230 ha identified tree cover loss within 6 madoss holding sdn bhd estates 2018 ratification p c 2018,False,6,0.53,87.59,0.94,8.26,1.4,1.28,1,1,1,1,1,1
30,2,0.4850637938914711,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",1 complainants conducted land expansion 167 hectares imbo putui customary forest 2 complainants respondents used operational truck passing customary forest disturbing noise dust pollution disturbing growth trees along road cutting animal paths bear deer pangolin snake monitor lizard monkey cutting water paths 3 complainants action planting riverbank even middle river changed waterway planted former river stockpiled 4 complainants taking responsibility social economic ecological damage occurred imbo putui customary forest petapahan village 5 complainants changed natural shape rivers made straight 6 complainants destroying downstream river ecosystem imbo putui customary forest fertilizers pesticides and7 complainants claimed imbo putui customary forest conservation area hcv,False,6,1.99,1.18,48.51,2.36,39.64,6.32,1,1,1,1,1,1
31,5,0.31912856980989507,"eof, forest, mill, illegal, gar, plantation, bukit, plantations, ffb, grievance",supply cpo ffb unsustainable sources supplies ffb cpo kapuasindo industri subsidiary kencana non member series conflicts local violations standards,False,6,8.25,6.66,17.14,11.19,24.85,31.91,1,1,1,1,1,1
32,2,0.6609156333264068,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",1 koperasi koling hapakat use plasma area accordance permission allocated 2 isalleged transfer ownership owned shm sertifikat hak milik koperasi koling hapakat tothe,False,6,4.25,1.56,66.09,2.73,17.73,7.64,1,1,1,1,1,1
33,0,0.9477492232032749,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",embezzlement severance payment two retired workers head administration,False,6,94.77,0.45,1.99,0.65,1.31,0.83,1,1,1,1,1,1
34,2,0.5187756182875505,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",pay full land compensation six 6 individuals b unilaterally marked cost plasma development refer relevant regulations deciding cost plasma development c pay land compensation land identified hcv hcs area andd provide complete map along coordinates land handed six 6 individuals,False,6,4.35,2.04,51.88,3.55,25.46,12.73,1,1,1,1,1,1
35,5,0.5156382225945684,"eof, forest, mill, illegal, gar, plantation, bukit, plantations, ffb, grievance",operating area luak talang parit obtaining prior consent b develop plasma plantations c internal grievance mechanism stakeholders access,False,6,1.85,1.84,11.54,3.51,29.7,51.56,1,1,1,1,1,1
36,0,0.987744920416479,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",prohibits workers conduct union activities protest regards omnibus law b conducted unilateral termination ofemployment 2 two permata hijau sawit workers andc socialize regulations peraturan perusahaan workers damai nusa sekawan,False,6,98.77,0.1,0.48,0.15,0.31,0.19,1,1,1,1,1,1
37,4,0.768800139070401,"river, sustainable, plantation, rspos, forest, waste, use, member, water, 2013",ownership control influence called non member declared respondents membership ownership control influence indonesian b subsidiary british virgin islands registered name c declared part respondents membership via 11 subsidiaries violated principles criteria deforestation peatland degradation using lands plantation fpic river pollution unilateral layoffs workers via b violated principles criteria deforestation peatland degradation using lands plantation fpic river pollution violating ndpe commitments principles criteria code conduct membership rules complainants control influence known non member declared respondents membership,False,6,1.07,0.67,14.28,1.42,76.88,5.68,1,1,1,1,1,1
38,5,0.6136698555942526,"eof, forest, mill, illegal, gar, plantation, bukit, plantations, ffb, grievance",operating protected forest area license ministry forestry operating hgu,False,6,1.0,1.3,5.69,2.77,27.87,61.37,1,1,1,1,1,1
39,0,0.9549394601349435,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",daily casual workers paid minimum wage set musi rawas district government daily casual workers protected remedy available work accidents daily casual workers equipped personal protection equipment ppe equipped working tools daily casual workers receive festive allowance accordance regulation daily casual workers hired third party get pay slip amount written payment receipt formal stamp name party rendered payment,False,6,95.49,0.38,1.71,0.56,1.13,0.72,1,1,1,1,1,1
40,4,0.7143043788096752,"river, sustainable, plantation, rspos, forest, waste, use, member, water, 2013",domestic wastewater treatment plant oleochemical equalization pool built concrete sludge oleochemical wastewater treatment plant never transported designated waste processing agency dispose liquid waste permit inconsistency volume hazardous waste transported designated waste processing agency sparring equipment yet installed wastewater treatment plant certified wastewater treatment operational responsible water pollution control officer onsite processing fresh fruit bunches non certified plantations,False,6,1.56,1.84,11.94,4.46,71.43,8.76,1,1,1,1,1,1
41,0,0.9772596559560007,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",unilateral pay cut poor living conditions labourers intimidation workers forced labour lack transparent grievance system,False,6,97.73,0.18,0.89,0.27,0.57,0.36,1,1,1,1,1,1
42,2,0.4735887146695158,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",complaint lodged result comments given respondents npp consultation resolved allegations withheld two important documents made available stakeholders principle transparency documents original draft 2011 hcv assessment respondents legal review commissioned secretariat,False,6,3.11,1.49,47.36,2.75,33.51,11.78,1,1,1,1,1,1
43,0,0.9702895227694708,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",non compliance labour rights laws anti union practices employees provided sufficient protection equipment,False,6,97.03,0.24,1.15,0.36,0.75,0.47,1,1,1,1,1,1
44,2,0.7959600654411957,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",acquired land develop ghana destroyed farmers rubber plantation willing pay damages caused rubber farmers still cutting rubber farms plant remaining uncultivated lands taken respondents project shown interest resolving issues despite several complaints made complainants,False,6,2.9,0.97,79.6,1.77,11.13,3.64,1,1,1,1,1,1
45,0,0.9749694747557318,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",unauthorised regulation flat rate overtime premium copy collective bargaining agreement furnished workers workers working night shift provided extra food inadequate unsanitary worker’s housing daily casual workers provided written employment agreement daily casual workers provided employment security bpjs ketenagakerjaan card complicated healthcare insurance bpjs kesehatan paid sick day processes unfair dismissal termination unjustified reason participating union activities limitation worker’s right organize outside established independent non affiliated trade union,False,6,97.5,0.2,0.97,0.3,0.63,0.4,1,1,1,1,1,1
46,1,0.9612697502881656,"earth, mighty, ha, rapid, response, concession, deforestation, indications, forest, cleared",deforestation land clearing including high conservation value forest within respondents concession construction development road cutting across one major wildlife corridors connecting two river systems berenga tempadung rivers anddevelopment jetty includes reclamation sea floor long 590 meters,False,6,0.1,96.13,0.19,3.03,0.3,0.26,1,1,1,1,1,1
47,4,0.6849863044691508,"river, sustainable, plantation, rspos, forest, waste, use, member, water, 2013",dischargedimmense quantities toxic chemicals hazardous waste impacted nearby mangrove ecosytem manchn guamuchal nature reserve local marine species issue raised health concerns local communities rely water source water food supply e g fish shellfish etc may poisoned toxic waste,False,6,1.67,1.99,13.4,4.7,68.5,9.74,1,1,1,1,1,1
48,0,0.9478661744745855,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",termination employment severance related compensation written employment agreement daily casual workers national healthcare insurance bpjs kesehatan employee social security bpjs ketenagakerjaan daily casual workers bonus extra benefits allowance stipulated cba daily casual workers insufficient religious festive allowance daily casual workers ppe provided,False,6,94.79,0.45,1.96,0.66,1.31,0.83,1,1,1,1,1,1
49,2,0.8251993136544299,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",1 modification property deeds remove areas identified government environmental protection zone 2 employees paid minimum wage provided protection equipment given workers benefits 3 non compliance labour laws 4 threatening workers suppress information auditors 5 bribing workers government agencies 6 manipulation scale systems 7 falsification data 8 operating environmental licenses,False,6,1.61,0.63,82.52,1.2,11.19,2.84,1,1,1,1,1,1
50,4,0.6775677870586311,"river, sustainable, plantation, rspos, forest, waste, use, member, water, 2013",untreated wastewater disposed river stream,False,6,1.72,2.13,13.2,5.14,67.76,10.05,1,1,1,1,1,1
51,2,0.8497726413151686,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",following initial diagnosis process allegations accepted complaint follows 1 commenced process request water concession corpamag autonomous corporation magdalena asked technical reports facilitate aforementioned request however filed request directly corpamag sending 2 followed request technical complete 2nd step corpamag insisted sending technical directly corpamag refused due lack trust upon receiving reviewing intentionally omitted draw water canal favors neighboring crop 3 disagreements plantation boundaries complainants ex husbands plantation land dispute alerted issue receive response take action resolve land dispute even informed 4 harassed intimidated sought explanation resolution,False,6,1.67,0.53,84.98,0.97,8.91,2.95,1,1,1,1,1,1
52,5,0.9138317032957232,"eof, forest, mill, illegal, gar, plantation, bukit, plantations, ffb, grievance",allegations subsidiaries located central kalimantan operate plantations permits never force law employees involved payment bribes provincial officials central kalimantan,False,6,0.44,0.56,1.97,1.03,4.62,91.38,1,1,1,1,1,1
53,4,0.4619190541237493,"river, sustainable, plantation, rspos, forest, waste, use, member, water, 2013",land fires occurred august conservation area within respondent’s hgu covering area approximately 12 hectares blocked river flow within hgu using heavy equipment hence damaging rivers altering function numerous owned plantations public cemeteries within respondent’s hgu area yet enclaved planted peatland within hgu area planted river course areas sungai bengkarai sungai air hitam sungai napoh sungai peragaian sungai merbabu sungai batang merah although signage indicating considered conservation areas failed respond grievances suggestion,False,6,2.48,5.3,11.77,14.45,46.19,19.82,1,1,1,1,1,1
54,0,0.9380569842013746,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",unresponsive cases workplace accidents experienced workers instance failed promptly submit claim bpjs ketenagakerjaan least one worker daily casual workers registered bpjs kesehatan bpjs healthcare bpjs ketenagakerjaan bpjs employment security fails furnish pay slips workers health care facility provided far home workers ensure worker’s rights associate union management members workers working core work employed definite time employment agreement pkwt scheme instead indefinite time employment agreement pkwtt furnished appointment letters prior written indefinite time employment agreement pkwtt daily casual workers provided written employment agreement workers work overtime 3 three hours per day 14 fourteen hours per week failed establish regulations peraturan perusahaan employed workers daily casual workers 3 three years ensure legal certainty workers event expiration termination employment relationship due death redundancy pension resignation fails provide personal protective equipment ppe workers working respondent’s plantation area despite fact obtained health safety management system certification failed provide festivity allowance tunjangan hari raya workers including daily casual workers provides insufficient housing workers daily casual workers provided natural allowance rice,False,6,93.81,0.54,2.31,0.78,1.56,1.0,1,1,1,1,1,1
55,4,0.679938733820429,"river, sustainable, plantation, rspos, forest, waste, use, member, water, 2013",planted trees outside hgu respondents planted trees edge river resulted damage watershed never watered road traversed ffb cpo transport trucks affected health two villages due dust mills chimney emits black smoke causes air pollution polluting river water surrounding settlement caused liquid waste mills provide proper social assistance local,False,6,1.77,2.11,13.56,5.1,67.99,9.46,1,1,1,1,1,1
56,5,0.9064514269561929,"eof, forest, mill, illegal, gar, plantation, bukit, plantations, ffb, grievance",non transparency landowners ewusiejoe minutes provided meeting norpalm management information landowners arrival inspectorateteam enable participate express concerns information landowners demarcation made norpalm ghana ltd documents provided payments monies landowners fully made,False,6,0.49,0.71,2.07,1.29,4.8,90.65,1,1,1,1,1,1
57,2,0.8026860996390264,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",invasion forcible entry ovre eku land presco plc,False,6,3.78,1.02,80.27,1.78,9.53,3.62,1,1,1,1,1,1
58,0,0.9612702684396013,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",claims wrongfully terminated 2 july medical certificates accepted lieu absence work claims monthly salary remitted 3 consecutive months,False,6,96.13,0.32,1.5,0.47,0.97,0.61,1,1,1,1,1,1
59,4,0.6930576951727144,"river, sustainable, plantation, rspos, forest, waste, use, member, water, 2013",socfin indonesia used land apporoximately 900 meters many years water pipe line bilah river use mill workers houses consent local,False,6,1.25,1.65,9.26,3.79,69.31,14.75,1,1,1,1,1,1
60,0,0.9267171180288505,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",allegation 2 daily workers died due accident happened 23 february 2018 victim rights consist death insurance work accident insurance paid bilah plantido breach p c code 1 2 4 6,False,6,92.67,0.65,2.7,0.94,1.85,1.18,1,1,1,1,1,1
61,2,0.8449820662395802,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",major unlawful invasion forceful take local farm lands using force brutality consistently harass intimidate arrest main defenseless law abiding members charity farming local farm lands ovre abraka bid illegally acquire take local farm land cause massive destruction cavassa groundnut plants nursery stages knowledge consent client,False,6,2.6,0.75,84.5,1.34,8.01,2.8,1,1,1,1,1,1
62,0,0.9950628603431844,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",50 workers unjustifiably dismissed,False,6,99.51,0.04,0.2,0.05,0.12,0.07,1,1,1,1,1,1
63,4,0.5216263743748591,"river, sustainable, plantation, rspos, forest, waste, use, member, water, 2013",sri ganda dissapointed towards unico desa plantation regarding plan utilize area demarcated conservation area address water issues village,False,6,1.56,2.47,9.35,5.7,52.16,28.76,1,1,1,1,1,1
64,0,0.9849049270802068,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",salary fraud 7 laborers festive holidays bonus day laborers,False,6,98.49,0.12,0.61,0.17,0.38,0.24,1,1,1,1,1,1
65,0,0.9544827633977141,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",temporary workers contract issues wages overwork,False,6,95.45,0.39,1.74,0.56,1.14,0.73,1,1,1,1,1,1
66,0,0.9906038537729414,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",summary allegations follows 1 committed discriminatory acts againts labour union members including termination employment witholding bonuses workers associated labour union 2 failed provide pay slips workers 3 forced workers work holidays instances pay 4 discriminated female workers layoffs compensation took place april 2018 female workers age 35 and5 exploits female workers unilaterally increased workloads additional pay,False,6,99.06,0.07,0.38,0.11,0.23,0.15,1,1,1,1,1,1
67,0,0.9245905298512728,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",lack adequate health safety equipmentlabourer died due lack safety equipmentno festive holidays temporary workers,False,6,92.46,0.67,2.79,0.97,1.9,1.22,1,1,1,1,1,1
68,5,0.3072816974776971,"eof, forest, mill, illegal, gar, plantation, bukit, plantations, ffb, grievance",1 sourcing ffb unsustainable origin 2 failure conduct sia,False,6,8.64,6.95,17.34,11.62,24.73,30.73,1,1,1,1,1,1
69,1,0.9392612176995017,"earth, mighty, ha, rapid, response, concession, deforestation, indications, forest, cleared",allegedlyusing area dangku wildlife reserve sm approx 2 600 ha production forest area hp approx 3 200 ha,False,6,0.21,93.93,0.4,4.27,0.62,0.57,1,1,1,1,1,1
70,4,0.5368286274150057,"river, sustainable, plantation, rspos, forest, waste, use, member, water, 2013",fpic process eia sia pollution,False,6,2.53,4.36,11.87,13.23,53.68,14.33,1,1,1,1,1,1
71,0,0.9351142247835654,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",minimum wage wage withholding deduction occupational hazard unsafe working conditions exposure chemicals,False,6,93.51,0.56,2.45,0.81,1.62,1.05,1,1,1,1,1,1
72,0,0.9514541378360066,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",allegations termination employment smart tbk kebun adi pati severance payment,False,6,95.15,0.41,1.86,0.6,1.21,0.76,1,1,1,1,1,1
73,2,0.7664921143029111,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",allegation presco plc nigeria consent compensation invaded farmland destroyed crops properties thereby depriving main source livelihood legal actions court injunctions ignored presco plc,False,6,3.33,1.16,76.65,2.09,12.5,4.27,1,1,1,1,1,1
74,4,0.6865390029219663,"river, sustainable, plantation, rspos, forest, waste, use, member, water, 2013",allegation 1 violation code conduct range fundamental grievous ways involvement control ownership operational development four plantation papua 2 megakarya jaya raya controlled hsa cleared estimated 4 000 ha forest plantations papua 3 members based malaysia indonesia complaint involves involvement four plantation papua megakarya jaya raya mjr fofi jair districts boven digoel papua indonesia kartika cipta pratama kcp fofi jair districts boven digoel papua indonesia energi samudera kencana esk mandobo fofi jair districts boven digoel papua indonesia graha kencana mulia gkm fofi jair districts boven digoel papua indonesia,False,6,1.05,0.92,8.82,1.91,68.65,18.65,1,1,1,1,1,1
75,2,0.662137547142153,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",allegation complaint made five member referred violation membership rule members comply 6th march 2017 part hayel saeed anam hsa still separate membership five became members may 2009 august 2014,False,6,4.92,1.28,66.21,2.31,18.49,6.78,1,1,1,1,1,1
76,2,0.7946571368176117,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",allegation expansion land approximately 150 ha destruction local farm owned kelompok tani penghijauan tingang menteng deny compensation,False,6,2.91,1.02,79.47,1.79,10.75,4.07,1,1,1,1,1,1
77,2,0.8152838928826825,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",allegation criminal land grabbing activities breach rules criminal land grabbing activities breach rules indigenous abraka kingdom,False,6,3.81,0.92,81.53,1.61,8.86,3.27,1,1,1,1,1,1
78,0,0.9239472334122462,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",labourer died due fertiliser poisoning,False,6,92.39,0.67,2.82,0.97,1.92,1.23,1,1,1,1,1,1
79,0,0.9754540791236416,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",terminated workers violation indonesian employment law,False,6,97.55,0.2,0.97,0.29,0.62,0.38,1,1,1,1,1,1
80,1,0.7970088118561152,"earth, mighty, ha, rapid, response, concession, deforestation, indications, forest, cleared",shadow clearing lands,False,6,0.47,79.7,0.96,15.82,1.57,1.47,1,1,1,1,1,1
