pk,source,internal_id,status,submitted_on,accepted_on,last_updated_on,country,region,complainants,respondents,respondent_sector,respondent_parent_company,respondent_supplier,summary,history,external_link,extras
459,Cargill,ISP-7,In Progress - Investigation,2021-08,,2021-09,Indonesia,South Sumatra,,Bukit Asam,,,,Mighty Earth has filed a grievance against Bukit Asam for alleged environmental non-compliance. The grievance was received in August 2021 and is currently under investigation. Cargill has contacted their direct supplier who is engaging with Bumi Sawindo Permai to investigate the allegations.,,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
460,Cargill,ISP-8,In Progress,4/23/2020,,2021-06,Indonesia,,,Bukit Barisan Indah Prima,,,,"This grievance involves a land conflict dispute at PT Bukit Barisan Indah Prima (BBIP) in Indonesia, where a security incident resulted in a fatality. PT AP, part of BBIP, has been engaged in a land dispute with the local village community. Following the incident, operations in the disputed area were suspended, and a third-party assessment was conducted which found PT AP had fulfilled legal requirements for land use, while the security officer involved was ruled to have acted in self-defense but was sentenced for actions leading to the fatality.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
461,Cargill,ISP-9,In Progress - Investigation,2018-09,,2019-03,Indonesia,,Greenpeace,Bumitama,,,,Greenpeace raised a grievance against Bumitama in September 2018 regarding deforestation. Cargill engaged with their direct suppliers about the allegations. Bumitama acknowledged gaps in implementing its sustainability policy and took immediate actions to address non-compliances. Additional land clearing was detected in PT Lestari Gemilang Intisawit in March 2019.,,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
462,Cargill,ISP-10,In Progress - Investigation,2021-01,,2021-02,Indonesia,,Mighty Earth,Bunga,,,,"A grievance was filed against Bunga Group for deforestation concerns in January 2021 by Mighty Earth. Cargill, which has an indirect supplier relationship with Bunga Group, reached out to direct suppliers for information. The supplier reported that Bunga Group has implemented a moratorium and adopted an NDPE (No Deforestation, No Peat, No Exploitation) Policy from January 25, 2021, while investigation into the alleged land clearing continues.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
463,Cargill,ISP-11,In Progress - Investigation,5/12/2020,,2021-06,Indonesia,Papua,Mighty Earth,Capitol Group,,,,"A grievance was filed against Capitol Group by Mighty Earth on May 12, 2020, regarding deforestation. Though Capitol Group is not in Cargill's latest mill list, they reached out to their previous direct supplier to understand progress on the grievance engagement. Investigation revealed that land clearing was due to local community pressure, and Medcopapua Hijau Selaras has imposed a moratorium and agreed to rehabilitation for cleared areas.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
464,Cargill,ISP-12,In Progress - Investigation,2018-02,,2018-05,Indonesia,,Greenpeace,Central Cipta Murdaya,,,,"A grievance was raised by Greenpeace in February 2018 against Central Cipta Murdaya, specifically PT Hardaya Inti Plantations, regarding deforestation. Cargill initiated engagement with their direct supplier upon receiving the allegations. Following investigations, the supplier has committed to a moratorium and compliance with No Deforestation, No Peat, No Exploitation (NDPE) policies.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
465,Cargill,ISP-13,Closed,2021-12,,2023-09,Indonesia,,Wilmar; KPN Plantations Palm Oil Company,Chora Agro Resources,,,,"A grievance was filed against Chora Agro Resources in December 2021 regarding alleged environmental and social non-compliance involving Mitra Abadimas Sejahtera (PT MAS). Investigation by Cargill's supplier found PT MAS was operating legally with proper permits, had fulfilled plasma obligations, had no community settlements within their boundaries, and maintained good relationships with local workers. The case was closed in September 2023 after the grievance raiser provided no further comments.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
466,Cargill,ISP-14,Submitted,2018-02,,2018-08,Indonesia,,Greenpeace,Cilinadry Anky Abadi,,,,"Greenpeace filed a grievance against Cilinadry Anky Abadi (CAA) in February 2018 regarding deforestation. In response, CAA implemented a moratorium on PT AGL and PT CAA as of August 31, 2018, and committed to conduct HCS/HCV assessments. They also committed to publish an NDPE (No Deforestation, No Peat, No Exploitation) policy in 2019.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
467,Cargill,ISP-15,In Progress - Investigation,2018-02,,2018-05,Indonesia,,Greenpeace,Djarum,,,,"Greenpeace filed a grievance against Djarum in February 2018 for alleged deforestation and land clearing activities. Cargill engaged with their direct supplier about these allegations, and the supplier has committed to No Deforestation, No Peat, No Exploitation (NDPE) policies. A moratorium has been placed at PT Gemilang Sawit Kencana pending completion of required assessments.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
468,Cargill,ISP-16,Closed,2019-03,,2019-05,Indonesia,,,Double Dynasty,,,,"This grievance involves allegations of deforestation and land conflict against Double Dynasty, an indirect supplier to Cargill. After receiving reports from media and NGOs in March 2019, Cargill raised concerns with direct suppliers who initially instituted a moratorium while investigating. By May 7, 2019, Cargill's direct supplier suspended Double Dynasty, removing them from Cargill's supply chain.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
469,Cargill,ISP-17,In Progress,2019-02,,2019-09,Indonesia,West Kalimantan,Greenpeace,DTK Opportunity,,,,"Greenpeace and Cargill's internal monitoring reported deforestation by DTK Opportunity in February 2019. Cargill engaged with their direct supplier regarding land clearing allegations by PT Lahan Agro Inti Ketapang. While land clearing has ceased at PT LAIK, Cargill identified potential clearing in DTK's PT Permata Lestari Jaya, leading to DTK implementing a moratorium on new land clearing in September 2019.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
470,Cargill,ISP-18,Closed,9/30/2016,,2021-08,Indonesia,,Greenpeace,Eagle High Plantations,,,,"Greenpeace raised a grievance against Eagle High Plantations for deforestation on September 30, 2016. EHP provided evidence that the deforestation was caused by community encroachment, not by their operations. PT AER implemented an orangutan conservation project to protect HCV corridors and restore critical sites.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
471,Cargill,ISP-19,Closed,2021-07,,2021-10,Papua New Guinea,East New Britain,Global Witness,East New Britain Resources,,,,"A grievance was filed against East New Britain Resources in Papua New Guinea in July 2021 for environmental and social non-compliance. The complaint was raised by Global Witness regarding allegations in Papua New Guinea. Cargill has suspended East New Britain Resources as of March 31, 2022, following investigation and suspension by their direct supplier Mewah.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
472,Cargill,ISP-20,Closed,2019-03,,2019-03,Indonesia,,Mighty Earth,Everbright Resources Cooperations,,,,Everbright Resources Cooperations was reported for deforestation by Mighty Earth in March 2019. The company had already been suspended by Cargill's direct suppliers when the grievance was raised. Cargill has adopted a no-buy position on the company.,,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
473,Cargill,ISP-21,In Progress - Investigation,2019-03,,2019-03,Indonesia,,Mighty Earth,Fangiono Agro Plantation,,,,"A grievance was filed by Mighty Earth against Fangiono Agro Plantation for alleged deforestation in March 2019. Cargill engaged with their direct supplier who reported that no clearing was identified in High Carbon Stock (HCS) areas. FAP's PT Ketapang Hijau Lestari has a credible HCS assessment, and a verification visit is being planned by Cargill's direct supplier.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
474,Cargill,ISP-22,In Progress - Investigation,2020-06,,2021-08,Indonesia,Central Kalimantan,,Gagah Putra Satria Holdings,,,,A grievance was raised against Gagah Putra Satria Holdings for deforestation and developing on peat. GAR suspended Gagah Putra Satria in May 2020 due to unsatisfactory grievance engagement and clearing of peat. Cargill identified a connection through another direct supplier and is investigating the situation. The supplier claims that government assessment revised maps in 2015 showing no peat area in the concession.,,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
475,Cargill,ISP-23,Closed,2018-06,,2021-06,Indonesia,,Greenpeace,Gama/Ganda associated companies,,,,"Greenpeace raised a grievance against Gama/Ganda associated companies for deforestation in Indonesia in June 2018. Cargill initially clarified they were only indirectly linked through Wilmar, who ceased sourcing from these companies. On June 16, 2021, Cargill lifted the suspension on KPN Group (formerly GAMA Group) after the company demonstrated commitment to Cargill's Sustainable Palm Oil Policy by establishing an NDPE Policy, implementing a sustainability action plan, conducting responsibility studies, and committing to regular progress reporting.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
476,Cargill,ISP-24,In Progress - Investigation,2019-04,,2019-06,Indonesia,,Mighty Earth,Genting,,,,"This grievance report concerns deforestation allegations against Genting, specifically regarding PT Citra Sawit Cemerlang's operations. Cargill engaged with direct suppliers to investigate the claim, and was informed that land clearing occurred outside High Carbon Stock (HCS) areas according to an assessment by AidEnvironment. A stop work order was implemented on May 1, 2019, and PT CSC agreed to submit their assessment for peer review.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
477,Cargill,ISP-25,Closed,9/30/2016,,2019-07,Indonesia,,Greenpeace,Goodhope,,,,"Greenpeace filed a grievance against Goodhope for deforestation and exploitation issues. Cargill, as an indirect buyer, communicated expectations for Goodhope to reassess their HCS and HCV landscape. Goodhope subsequently published a sustainability policy with implementation plans and has made progress on resolving RSPO complaints, completing assessments, and improving FPIC processes.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
478,Cargill,ISP-26,Submitted,2018-02,,2020-04,Colombia,,,Grupo Agroindustrial Hacienda La Gloria,,,,"While performing supply chain monitoring, Cargill discovered that the Constitutional Court of Colombia had ordered Grupo Agroindustrial Hacienda La Gloria to return 1,200 hectares of palm-planted estates to Colombian Authorities in 2017. Cargill investigated the case by collecting information and engaging with the supplier. Due to pending legal actions on both sides that would delay resolution, Cargill decided to postpone any new business with this supplier until the case is resolved.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
479,Cargill,ISP-27,In Progress - Investigation,2018-02,,2019-07,Indonesia,,Greenpeace,IJM Corporation,,,,"Greenpeace raised a grievance against IJM Corporation regarding deforestation concerns with PT Prima Bahagia Permai (PT PBP), an indirect supplier to Cargill. In response, Cargill engaged with their direct supplier in February 2018, and PT PBP committed to a moratorium on activities pending required assessments. The HCS-HCV assessment was completed in August 2018, and PT PBP has maintained its moratorium as of July 2019.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
480,Cargill,ISP-28,Closed,2019-01,,2019-09,Indonesia,,Mighty Earth,Incasi Raya,,,,"A grievance was raised by Mighty Earth against Incasi Raya for deforestation in January 2019. Cargill engaged with direct suppliers and learned a moratorium was in place. Incasi Raya ceased all clearing since March 2019, and the cleared area was planted with cover crop with no palm planting to be carried out in that area.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
481,Cargill,ISP-29,Closed,9/30/2016,,2018-05,Indonesia,,Rainforest Action Network (RAN),Indofood/Salim Group,,,,"A grievance was filed by Rainforest Action Network against Indofood/Salim Group on September 30, 2016, alleging labor rights violations. The case involved an RSPO complaint, and Cargill communicated expectations to suppliers for Indofood to publish a time-bound implementation plan. After site visits and investigations, Indofood was ultimately removed from Cargill's supply chain in May 2018.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
482,Cargill,ISP-30,Closed,,,,Indonesia,,Greenpeace,Indonusa,,,,Greenpeace filed a grievance against Indonusa for deforestation. Cargill suspended the supplier from their supply chain after engagement via their direct supplier was deemed unsatisfactory. The grievance is currently suspended and Indonusa was an indirect supplier to Cargill.,,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
483,Cargill,ISP-31,In Progress - Investigation,2019-07,,2019-07,Indonesia,,,Inti Nusa Sejahtera,,,,"A grievance was raised in July 2019 regarding land rights issues involving Inti Nusa Sejahtera (PT MAS). The case involves a land conflict with an indirect supplier. Cargill is aware that PT MAS has been part of the RSPO complaints system, and Sime Darby divested from PT MAS in February 2019. Cargill is engaging with direct suppliers on the resolution process by the new owners.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
484,Cargill,ISP-32,In Progress - Investigation,2020-08,,2020-08,Malaysia,,,Instant Star Holdings Sdn Bhd,,,,A grievance was filed in August 2020 against Instant Star Holdings Sdn Bhd regarding deforestation. The complaint alleges that Aspirasi Kristal's plantations have deforestation issues and that mills in Cargill's supply chain are sourcing Fresh Fruit Bunches (FFB) from Aspirasi Kristal. Cargill is currently investigating these allegations with their suppliers.,,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
485,Cargill,ISP-33,Closed,2022-03,,3/31/2022,Malaysia,,Mighty Earth,Jernih Kemboja Sdn Bhd,,,,"Cargill has suspended Jernih Kemboja Sdn Bhd from its supply chain effective March 31, 2022, following evidence of deforestation in Malaysia obtained via satellite imagery. The grievance was raised by Mighty Earth in March 2022, citing environmental non-compliance. Cargill remains open to re-engagement if the supplier meets their standards.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
486,Cargill,ISP-34,Closed,2018-10,,2020-06,Indonesia,,Mighty Earth,Jhonlin,,,,"Mighty Earth filed a grievance against Jhonlin Group in October 2018 for deforestation activities. As a result of unsatisfactory progress in grievance engagements and NDPE (No Deforestation, No Peat, No Exploitation) implementation, Cargill stopped indirect sourcing from Jhonlin Group in June 2020. Cargill may consider re-engagement if Jhonlin demonstrates significant progress in addressing the allegations.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
487,Cargill,ISP-35,Submitted,7/26/2016,,7/26/2016,Indonesia,Papua,Mighty Earth,Korindo,,,,"A grievance was filed against Korindo on July 26, 2016, by Mighty Earth regarding deforestation. The case status is suspended, and Cargill has taken action by having its direct suppliers suspend the company. Cargill has adopted a no-buy position on Korindo, which is an indirect supplier.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
488,Cargill,ISP-36,In Progress - Investigation,11/7/2016,,2017-04,Indonesia,Aceh,,Leuser Ecosystem,,,,"This grievance concerns the Leuser Ecosystem and involves monitoring activities by Cargill. Cargill has requested that their direct suppliers share action plans for Leuser monitoring. The suppliers are addressing risks through multi-stakeholder initiatives such as ""Areal Prioritas Transformasi"" and conducting sustainability workshops to raise awareness.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
489,Cargill,ISP-37,In Progress - Investigation,2020-08,,2020-12,Malaysia,,,LKPP Corporation Sdn Bhd,,,,"A grievance was raised against LKPP Corporation Sdn Bhd for deforestation in August 2020. Cargill and other companies held a joint meeting with LKPP to discuss the land clearing and promote NDPE (No Deforestation, No Peat, No Exploitation) policies. LKPP has agreed to implement a group-wide policy from January 2021 and stated that no further land clearing will take place, while discussions continue regarding a recovery plan.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
