pk,source,internal_id,status,submitted_on,accepted_on,last_updated_on,country,region,complainants,respondents,respondent_sector,respondent_parent_company,respondent_supplier,summary,history,external_link,extras
59,Roundtable on Sustainable Palm Oil (RSPO),5000o00002aTdWvAAK,Closed,8/12/2019,9/25/2019,9/15/2020,Malaysia,,Sauddin Che Lamin,Boustead Rimba Nilai,Oil Palm Growers,Boustead Plantations Berhad,,Complainant claims that he was wrongfully terminated on 2 July 2019 and his medical certificates were not accepted in lieu of his absence from work. Complainant claims that his monthly salary was not remitted for 3 consecutive months.,2020-09-23: The appeal period has expired and this Complaint is closed. This Complaint will be removed from the agenda moving forward. 2020-09-15: Appeals period has expired without any appeal. Complaint is officially closed. 2020-08-26: Pending expiry of appeal period on 14 September 2020. 2020-07-29: Pending expiry of appeal period on 14 September 2020. 2020-06-24: Decision delivered on 18 June 2020. Pending Appeals period. 2020-06-18: Decision delivered to parties. 2020-05-20: Decision letter has been drafted and is pending endorsement. 2020-04-29: Decision letter is being drafted. 2020-03-25: Decision letter being drafted. 2020-02-26: The Briefing Note is in progress. 2020-01-29: Investigation ongoing. The Secretariat is to prepare a Briefing Note. 2019-11-27: Review of supporting documents ongoing. 2019-10-23: Internal review is ongoing. 2019-09-25: The Initial Diagnosis is endorsed by the CP and the Complaint is formally accepted.,https://rspo.my.site.com/Complaint/s/case/5000o00002aTdWvAAK/detail,{'case_number': 'RSPO/2019/18/IR'}
60,Roundtable on Sustainable Palm Oil (RSPO),5000o00002aSOxkAAG,Closed,7/26/2019,9/19/2019,5/12/2020,Indonesia,North Sumatera,Team Investigasi Penyelamatan Asset Negara Republik Indonesia (TIPAN-RI),PT Socfin Indonesia,Oil Palm Growers,SOCFIN SA,,PT. Socfin Indonesia used a community land apporoximately 900 meters for many years for water pipe line from the Bilah river for the use of palm oil mill and to the workers houses without consent from the local community.,"2020-05-20: 1)The decision letter has been furnished to both the parties on 12. 05. 2020. 2)The closure of the complaint has been recorded on the following grounds:-a) the withdrawal of the Complaint;b) the failure of the Complainant to respond to the queries of the Secretariat; andc) the input received from a community member stating that he had noknowledge that the Complaint was lodged against the Respondent. 2020-05-12: The decision letter has been furnished and submitted to both parties and the closure of this complaint is without an appeal period as it is based on the considering the fact that the Complainant has failed to respond to the Secretariat's queries on the withdrawal of the Complaint and taking into consideration that information obtained from a community member indicates that the Complaint was lodged without their knowledge against the Respondent. Therefore, the Complaint is officially dismissed and closed. 2020-04-29: The decision letter is being drafted. 2020-03-25: Pending response from the Complainant with respect to the confirmation from the community on the status of withdrawal of Complaint. 2020-02-26: The Complainant sent a formal letter to the Secretariat stating their wishes to withdraw the Complaint. The Complaints Panel has directed the Secretariat to obtain confirmation from the community on the status of the withdrawal. 2020-01-29: On the request of parties, the timeline for the Bilateral Engagement process is extended. 2019-11-27: Both parties to the Complaint have agreed for the Complaint to be resolved by way of bilateral engagement.The deadline for the bilateral engagement process is on 20. 01. 2020. 2019-10-28: Both parties of the complaints agreed for the complaint to be resolved by way of bilateral engagement. The deadline of the bilateral engagement process is on or by 20 January 2020. 2019-10-23: The Secretariat has sent an email to both parties. The Respondent responded and informed the Secretariat that they wish for the complaint to be resolved by way of Bilateral Engagement. The Secretariat is waiting for the response from the Complainant for the Bilateral Engagement process. 2019-09-19: The Initial Diagnosis is endorsed by the CP and the Complaint is formally accepted.",https://rspo.my.site.com/Complaint/s/case/5000o00002aSOxkAAG/detail,{'case_number': 'RSPO/2019/17/SW'}
61,Roundtable on Sustainable Palm Oil (RSPO),5000o00002WSDhNAAX,Closed,6/20/2019,9/19/2019,4/20/2020,Indonesia,North Sumatera,Federasi Serikat Pekerja Metal Indonesia (FSPMI),PT Bilah Platindo,Oil Palm Growers,M.P. Evans Group PLC,,"Allegation:2 daily workers died due to accident happened on 23 February 2018. Both of the Victim's rights which consist of death insurance, work accident insurance are not paid by PT Bilah Plantido until now. The Respondent allegedly breach the P&C code 1, 2, 4 and 6.","2020-04-29: Decision delivered and closure of Complaint recorded in light of agreement reached between parties. 2020-04-16: The decision letter has been furnished and submitted to both parties and the closure of this complaint is without an appeal period as it is based on the settlement agreement. Therefore, Complaint is officially closed. 2020-03-25: The decision letter is being drafted. 2020-02-26: The Briefing Note is in progress. 2020-01-29: Investigation concluded. The Secretariat will proceed with the drafting of the Briefing Note. 2019-11-27: The Secretariat will issue a letter of warning to the Complainant. 2019-10-23: The Secretariat has received the documents from the Respondent and is in the midst of reviewing the documents. 2019-09-25: The Secretariat has sought the CPs directive on this matter as whether to issue a warning letter to both parties if they do not furnish the documents within the stipulated time frame. This matter has been referred to the head of certification unit as this is a certified unit. 2019-09-19: The Complaint is formally accepted.",https://rspo.my.site.com/Complaint/s/case/5000o00002WSDhNAAX/detail,{'case_number': 'RSPO/2019/15/SW'}
62,Roundtable on Sustainable Palm Oil (RSPO),5000o00002WSbXxAAL,Closed,6/18/2019,7/29/2019,4/21/2020,Nigeria,Delta State,Delta Agricultural Stakeholders Farmer Union,PRESCO PLC,Oil Palm Growers,SIAT SA,,"There have been major unlawful invasion and forceful take over of local farm lands by the Respondent. The Respondent allegedly has been using force and brutality to consistently harass, intimidate, arrest and main defenseless and law abiding members of the charity community farming in the local farm lands in Ovre Abraka all in a bid to illegally acquire and/or take the local farm land which cause massive destruction of cavassa and groundnut plants in nursery stages without the knowledge and consent of the Complainant's client.",2020-04-29: Decision delivered. Appeals period has expired without any appeal. Complaint closed. 2020-04-21: No appeal by parties. This Complaint is officially closed 2020-03-25: Decision delivered. Pending expiry of the appeals period on 20. 04. 2020. 2020-02-26: Decision delivered. Pending expiry of the appeals period on 20. 04. 2020. 2020-02-03: CP's Decision Letter. 2020-01-29: Pending endorsement of decision letter. 2019-11-27: Briefing Note has been submitted to the CP for deliberation. 2019-10-23: An interim briefing note has been furnished to the Complaints Panel for deliberation on the developments of this Complaint. The Complaints Panel is currently in deliberation. 2019-09-25: The Secretariat to hold a discussion with its colleagues from Africa on identifying the validity of the Complaint. 2019-08-28: The Secretariat is at present waiting for a formal response from the Respondent.Both parties have been advised of the availability of DSF Mediation. The Respondent has expressed their willingness to proceed with DSF Mediation.The Secretariat is still waiting for a response from the Complainant with respect to accessing DSF Mediation. 2019-07-29: The Initial Diagnosis is endorsed by the CP and the Complaint is formally accepted.,https://rspo.my.site.com/Complaint/s/case/5000o00002WSbXxAAL/detail,{'case_number': 'RSPO/2019/16/PR'}
63,Roundtable on Sustainable Palm Oil (RSPO),5000o00002WRYAIAA5,Closed,6/8/2019,7/29/2019,12/21/2020,Guatemala,Sayaxché,Consejo Nacional de Desplazados de Guatemala (CONDEG),"Nacional Agro Industrial, S. A.",,KH Regional Group Inc.,,50 workers were unjustifiably dismissed.,"2020-12-21: The Appeal has been concluded and the parties have been informed of the decision.This complaint is officially closed. 2020-11-25: The Appeals Panel had the 2nd meeting on 23. 11. 2020. 2020-10-28: The Appeals Panel has been officially constituted. The Appeals Panel will have its 1st meeting on 02. 11. 2020. 2020-09-23: An appeal has been submitted by the ComplainantThe Secretariat is in the process of convening an Appeals Panel. 2020-08-26: Decision delivered to both parties on 09. 07. 2020 with an appeal period until 07. 10. 2020. 2020-07-29: Decision delivered to both parties on 09. 07. 2020 with an appeal period until 07. 10. 2020. 2020-07-09: CP's decision letter has been furnished to both parties. 2020-06-24: Briefing Note submitted to the CP and pending endorsement of decision. 2020-05-20: The Briefing Note has been furnished to the CP members and the Secretariat has received some queries from the CP.The Secretariat will seek clarification from the Respondent and will update the CP members. 2020-04-29: Special Audit report furnished to parties for their comments. 2020-03-25: Special Audit Report received from the CB, however further clarification required with respect to the contents of the Special Audit Report.The Certification Unit had a meeting with the CB and the Complaints Desk is waiting for an update from the Certification Unit. 2020-02-26: The auditors have concluded the Special Audit. Pending receipt of the Special Audit report from the Certification Body. 2020-01-29: Pending receipt of the Special Audit Report from the Certification Body. 2019-11-27: The Spanish version of the Respondents response has been forwarded to the Complainant and they have acknowledged receipt. The Secretariat has instructed the CB to conduct a special audit. 2019-10-23: The Secretariat has received a formal response from the Respondent and has shared the response with the Complainant. The Complainant requested the documents to be translated into Spanish. The translation is in progress. The Secretariat has requested the Certification Unit to instruct the Certification Body to conduct a special audit with respect to the allegations. 2019-09-25: The Secretariat has received a formal response from the Respondent and the Secretariat is reviewing the document. 2019-08-28: The Secretariat has received a response from the Respondent and is in the midst of reviewing the response. 2019-07-29: The Initial Diagnosis is endorsed by the CP and the Complaint is formally accepted.",https://rspo.my.site.com/Complaint/s/case/5000o00002WRYAIAA5/detail,{'case_number': 'RSPO/2019/14/PR'}
64,Roundtable on Sustainable Palm Oil (RSPO),5000o00002PZMjtAAH,Closed,5/6/2019,6/26/2019,2/17/2020,Malaysia,"Lahad Datu, Sabah",Leap Spiral,Unico-Desa Plantations Berhad (Unico-Desa Palm Oil Mill),Oil Palm Growers,IOI Corporation Berhad,,The community of Sri Ganda dissapointed towards Unico Desa Plantation regarding a plan to utilize an area demarcated as a conservation area to address water issues in the village.,"2020-02-26: Decision is delivered and the Complaint is closed and will be removed from the agenda moving forward. 2020-02-17: This case is officially closed. 2020-01-29: The CP has come to a decision and have directed the drafting of a decision letter. 2019-11-27: Briefing Notes submitted to the Complaints Panel for deliberation.The Secretariat is to obtain further information from the Respondent for the CPs deliberation and subsequent decision making. 2019-10-23: The Briefing Note is in progress. 2019-09-25: The Briefing Note is in progress. 2019-08-28: The Complainant has responded with a proposal to be considered by the Respondent and the Secretariat has forwarded it to the Respondent for their review. The Respondent came back with their views and a counter proposal on 27. 08. 19 and this will be forwarded to the Complainant for their review. 2019-07-24: The Secretariat has received a formal response from IOI enclosing copies of the minutes of meetings. The minutes were approved and signed by the representative of the village and the Secretariat has furnished the minutes to the Complainant, seeking their input.The Secretariat will be issuing a reminder to the Complainant to respond with their input. 2019-06-26: The Initial Diagnosis is endorsed by the CP and the Complaint is formally accepted.",https://rspo.my.site.com/Complaint/s/case/5000o00002PZMjtAAH/detail,{'case_number': 'RSPO/2019/13/PR'}
65,Roundtable on Sustainable Palm Oil (RSPO),5000o00002PZMO7AAP,Closed,5/6/2019,6/26/2019,3/23/2024,Indonesia,North Sumatera,Federasi Serikat Pekerja Metal Indonesia (FSPMI),PT. Perkebunan Nusantara IV (PERSERO),Oil Palm Growers,,,"Alleged salary fraud for 7 laborers, no festive holidays and no bonus for day laborers.","2024-03-23: The appeal submission period has expired. The Complaint is formally closed. 2024-02-28: Decision delivered. Pending expiry of appeals period. 2024-01-31: Decision delivered. Pending expiry of appeals period. 2023-12-26: CP's decision letter has been furnished to both parties. 2023-11-29: Draft decision letter furnished to the CP on 15. 11. 2023 for their perusal and comments.The CP has deliberated on the same and directed the Secretariat to reach out to the Complainant for clarification before a decision is delivered. 2023-10-25: Briefing Note submitted and CPs deliberations have concluded.The Secretariat is to draft a decision letter for the CPs perusal and comments. 2023-09-26: Peer review of the summary of findings by the Certification Body is completed and the Secretariat is currently in the midst of finalising the same. 2023-08-30: Findings from the Certification Body (CB) have been summarised and submitted for peer review before the same is furnished to the Complaints Panel for deliberations. 2023-07-26: The Secretariat is in the midst of summarising the findings from the Certification Body before the same is furnished to the CP for the CPs perusal and deliberation. 2023-06-28: The Secretariat has received the summary of findings from the Certification Body and is in the midst of reviewing the same. 2023-05-31: The Secretariat has received the summary of findings from the audit reports (from 2019 until the most recent audit) on 02. 05. 2023.A meeting with the Certification Body together with colleagues from the Certification Unit was held on 19. 05. 2023 to seek clarification on the said summary.The Certification Body will respond with a revised summary on or before 02. 06. 2023. 2023-04-26: The Secretariat held a meeting with the CB on 11. 04. 2023.The CB will verify if the allegations raised in the Complaint are caught in the audit/special audit reports from 2019 up until the latest audit report and will respond with the summary of the same on or before 02. 05. 2023. 2023-03-29: The Secretariat is in the midst of scheduling a meeting with the Certification Body to facilitate an alignment discussion. 2023-02-22: The Secretariat has reviewed the annual surveillance audit report and has written to the Certification Unit for clarification from the CB.Pending updates from the Certification Unit. 2023-01-25: Pending receipt of the Annual Surveillance Audit report from the Certification Body. 2022-11-23: Pending receipt of the Annual Surveillance Audit report from the Certification Body. 2022-10-26: The Certification Unit has informed the relevant Certification Body to ensure all the allegations are verified during the Annual Surveillance Audit.The Secretariat is currently waiting to be in receipt of the Annual Surveillance Audit report from the Certification Body. 2022-09-28: Pending a response from the Certification Unit on the status of the Compliance Audit Report. 2022-08-24: An internal meeting was held on 19. 08. 2022. Further to the said meeting, the Secretariat requires further clarification regarding the Compliance Audit report.The Secretariat is in midst of obtaining the said clarification from the Certification Unit. Upon receipt of the aforementioned clarification, the Briefing note will be revised and thereafter furnished to the CP for deliberation. 2022-07-27: The Briefing Note has been submitted for peer review and an internal meeting will be scheduled for further discussion. 2022-06-29: Pending finalisation of the Briefing Note. 2022-05-25: The Secretariat held an internal meeting for the finalisation of the Briefing Note on 20. 05. 2022. Pending finalisation of Briefing Note. 2022-04-29: Clarification regarding the Compliance Audit report has been obtained from ASI and the Secretariat will proceed with the preparation of the Briefing Note for submission. 2022-03-30: Pending clarification from the Certification Unit regarding the Compliance Audit Report. 2022-02-23: 2020-11-25: Pending consolidated investigation by auditors. 2020-10-28: The Briefing Note has been endorsed.The Secretariat is to proceed with a consolidated investigation of the allegations raised. 2020-09-23: The Briefing Note will be furnished to the CP members after the peer review is completed. 2020-08-26: The Briefing Note is in the midst of being finalised. 2020-07-29: The Briefing Note is completed and is going through the process of peer review. 2020-06-24: Pending internal discussion and completion of Briefing Note. 2020-05-20: Pending completion of briefing note. 2020-04-29: Briefing Note in progress. 2020-03-25: Briefing note in progress. 2020-02-26: The Briefing Note is in progress. 2020-01-29: Investigation concluded. The Secretariat will proceed with the drafting of the Briefing Note. 2019-11-27: Review of supporting documents ongoing. 2019-10-23: Internal review is ongoing. 2019-09-25: The Secretariat is reviewing the supporting documents and information submitted. 2019-08-28: The Secretariat is still waiting for a response from the Complainant. 2019-07-24: Pending submission of a response from the Respondent. 2019-06-26: The Initial Diagnosis is endorsed by the CP and the Complaint is formally accepted.",https://rspo.my.site.com/Complaint/s/case/5000o00002PZMO7AAP/detail,{'case_number': 'RSPO/2019/12/IR'}
66,Roundtable on Sustainable Palm Oil (RSPO),5000o00002PYscZAAT,Closed,4/23/2019,6/26/2019,3/23/2024,Indonesia,North Sumatera,Confidential,PT. Perkebunan Nusantara IV (PERSERO),Oil Palm Growers,,,Temporary workers and contract issues. Wages and overwork,"2024-03-23: The appeal submission period has expired. The Complaint is formally closed. 2024-02-28: Decision delivered. Pending expiry of appeals period. 2024-01-31: Decision delivered. Pending expiry of appeals period. 2023-12-26: CP's decision letter has been furnished to both parties. 2023-11-29: Draft decision letter furnished to the CP on 15. 11. 2023 for their perusal and comments.The CP has deliberated on the same and directed the Secretariat to reach out to the Complainant for clarification before a decision is delivered. 2023-10-25: Briefing Note submitted and CPs deliberations have concluded.The Secretariat is to draft a decision letter for the CPs perusal and comments. 2023-09-26: Peer review of the summary of findings by the Certification Body is completed and the Secretariat is currently in the midst of finalising the same. 2023-08-30: Findings from the Certification Body (CB) have been summarised and submitted for peer review before the same is furnished to the Complaints Panel for deliberations. 2023-07-26: The Secretariat is in the midst of summarising the findings from the Certification Body before the same is furnished to the CP for the CPs perusal and deliberation. 2023-06-28: The Secretariat has received the summary of findings from the Certification Body and is in the midst of reviewing the same. 2023-05-31: The Secretariat has received the summary of findings from the audit reports (from 2019 until the most recent audit) on 02. 05. 2023.A meeting with the Certification Body together with colleagues from the Certification Unit was held on 19. 05. 2023 to seek clarification on the said summary.The Certification Body will respond with a revised summary on or before 02. 06. 2023. 2023-04-26: The Secretariat held a meeting with the CB on 11. 04. 2023.The CB will verify if the allegations raised in the Complaint are caught in the audit/special audit reports from 2019 up until the latest audit report and will respond with the summary of the same on or before 02. 05. 2023. 2023-03-29: The Secretariat is in the midst of scheduling a meeting with the Certification Body to facilitate an alignment discussion. 2023-02-22: The Secretariat has reviewed the annual surveillance audit report and has written to the Certification Unit for clarification from the CB.Pending updates from the Certification Unit. 2023-01-25: Pending receipt of the Annual Surveillance Audit report from the Certification Body. 2022-11-23: Pending receipt of the Annual Surveillance Audit report from the Certification Body. 2022-10-26: The Certification Unit has informed the relevant Certification Body to ensure all the allegations are verified during the Annual Surveillance Audit.The Secretariat is currently waiting to be in receipt of the Annual Surveillance Audit report from the Certification Body. 2022-09-28: Pending a response from the Certification Unit on the status of the Compliance Audit Report. 2022-08-24: An internal meeting was held on 19. 08. 2022. Further to the said meeting, the Secretariat requires further clarification regarding the Compliance Audit report.The Secretariat is in midst of obtaining the said clarification from the Certification Unit. Upon receipt of the aforementioned clarification, the Briefing note will be revised and thereafter furnished to the CP for deliberation. 2022-07-27: The Briefing Note has been submitted for peer review and an internal meeting will be scheduled for further discussion. 2022-06-29: Pending finalisation of the Briefing Note. 2022-05-25: The Secretariat held an internal meeting for the finalisation of the Briefing Note on 20. 05. 2022. Pending finalisation of Briefing Note. 2022-04-29: Clarification regarding the Compliance Audit report has been obtained from ASI and the Secretariat will proceed with the preparation of the Briefing Note for submission. 2022-03-30: Pending clarification from the Certification Unit regarding the Compliance Audit Report. 2022-02-23: 2020-11-25: Pending consolidated investigation by auditors. 2020-10-28: The Briefing Note has been endorsed.The Secretariat is to proceed with a consolidated investigation of the allegations raised. 2020-09-23: The Briefing Note will be furnished to the CP members after the peer review is completed. 2020-08-26: The Briefing Note is in the midst of being finalised. 2020-07-29: The Briefing Note is completed and is going through the process of peer review. 2020-06-24: Pending internal discussion and completion of Briefing Note. 2020-05-20: Pending completion of briefing note. 2020-04-29: Briefing Note in progress. 2020-03-25: Briefing note in progress. 2020-02-26: The Briefing Note is in progress. 2020-01-29: Investigation concluded. The Secretariat will proceed with the drafting of the Briefing Note. 2019-11-27: Review of supporting documents ongoing. 2019-10-23: Internal review is ongoing. 2019-09-25: The Secretariat is reviewing the supporting documents and information submitted. 2019-08-28: The Secretariat is still waiting for a response from the Complainant. 2019-07-24: The Secretariat is reviewing the response submitted by the Respondent and its supporting documents. 2019-06-26: The Initial Diagnosis is endorsed by the CP and the Complaint is formally accepted.",https://rspo.my.site.com/Complaint/s/case/5000o00002PYscZAAT/detail,{'case_number': 'RSPO/2019/11/IR'}
67,Roundtable on Sustainable Palm Oil (RSPO),5000o00002PYgw0AAD,Closed,4/22/2019,6/26/2019,1/29/2020,Indonesia,North Sumatera,Konsulat Cabang Federasi Serikat Pekerja Metal Indonesia (KC-FSPMI),PT SMART TBK,Oil Palm Growers,Golden Agri-Resources Ltd,,"The summary of the allegations are as follows:1) The Respondent committed discriminatory acts againts labour union members, including termination of employment and/or witholding of bonuses of workers who are associated to the labour union;2) The Respondent failed to provide pay slips to the workers;3) The Respondent forced some workers to work on holidays, and in some instances, without pay;4) The Respondent discriminated against female workers, where the Complainant alleges the layoffs without compensation took place in April 2018 against the Respondent's female workers above the age of 35; and5) The Respondent exploits some of it's female workers, where the Respondent unilaterally increased their workloads without additional pay.","2020-01-29: Complaint is closed following the settlement of Complaint through Bilateral Engagement. 2019-11-27: Briefing Note is in progress. 2019-10-23: Internal review is ongoing. 2019-09-25: The Secretariat is reviewing the supporting documents and information submitted. 2019-08-28: The Complainant requested for the Secretariats attendance at the negotiations.In keeping with the independence of the negotiations, the Secretariat is not to attend the session.Parties are to keep the Complaints Panel updated on the status of the negotiations. 2019-07-24: The Secretariat is reviewing the response submitted by the Respondent and its supporting documents. 2019-06-26: The Initial Diagnosis is endorsed by the CP and the Complaint is formally accepted.",https://rspo.my.site.com/Complaint/s/case/5000o00002PYgw0AAD/detail,{'case_number': 'RSPO/2019/09/IR'}
68,Roundtable on Sustainable Palm Oil (RSPO),5000o00002PY2NZAA1,Closed,4/10/2019,6/26/2019,3/23/2024,Indonesia,,Koali Organasi Serikat Perkerja dan Lembaga Swadaya Masyarakat Kabubaten Labuhan Batu; FSMI; Team Investigasi Penyelamatan Aset Negara Republik Indonesia (TIPAN-RI),PT. Perkebunan Nusantara IV (PERSERO),Oil Palm Growers,,,Lack of adequate health and safety equipmentLabourer died due to lack of safety equipmentNo festive holidays for temporary workers,"2024-03-23: The appeal submission period has expired. The Complaint is formally closed. 2024-02-28: Decision delivered. Pending expiry of appeals period. 2024-01-31: Decision delivered. Pending expiry of appeals period. 2023-12-26: CP's decision letter has been furnished to both parties. 2023-11-29: Draft decision letter furnished to the CP on 15. 11. 2023 for their perusal and comments.The CP has deliberated on the same and directed the Secretariat to reach out to the Complainant for clarification before a decision is delivered. 2023-10-25: Briefing Note submitted and CPs deliberations have concluded.The Secretariat is to draft a decision letter for the CPs perusal and comments. 2023-09-26: Peer review of the summary of findings by the Certification Body is completed and the Secretariat is currently in the midst of finalising the same. 2023-08-30: Findings from the Certification Body (CB) have been summarised and submitted for peer review before the same is furnished to the Complaints Panel for deliberations. 2023-07-26: The Secretariat is in the midst of summarising the findings from the Certification Body before the same is furnished to the CP for the CPs perusal and deliberation. 2023-06-28: The Secretariat has received the summary of findings from the Certification Body and is in the midst of reviewing the same. 2023-05-31: The Secretariat has received the summary of findings from the audit reports (from 2019 until the most recent audit) on 02. 05. 2023.A meeting with the Certification Body together with colleagues from the Certification Unit was held on 19. 05. 2023 to seek clarification on the said summary.The Certification Body will respond with a revised summary on or before 02. 06. 2023. 2023-04-26: The Secretariat held a meeting with the CB on 11. 04. 2023.The CB will verify if the allegations raised in the Complaint are caught in the audit/special audit reports from 2019 up until the latest audit report and will respond with the summary of the same on or before 02. 05. 2023. 2023-03-29: The Secretariat is in the midst of scheduling a meeting with the Certification Body to facilitate an alignment discussion. 2023-02-22: The Secretariat has reviewed the annual surveillance audit report and has written to the Certification Unit for clarification from the CB.Pending updates from the Certification Unit. 2023-01-25: The Secretariat has since received the annual surveillance audit report from the Certification Body and is currently in the midst of reviewing the same. 2022-11-23: Pending receipt of the Annual Surveillance Audit report from the Certification Body. 2022-10-26: The Certification Unit has informed the relevant Certification Body to ensure all the allegations are verified during the Annual Surveillance Audit.The Secretariat is currently waiting to be in receipt of the Annual Surveillance Audit report from the Certification Body. 2022-09-28: Pending a response from the Certification Unit on the status of the Compliance Audit Report. 2022-08-24: An internal meeting was held on 19. 08. 2022. Further to the said meeting, the Secretariat requires further clarification regarding the Compliance Audit report.The Secretariat is in midst of obtaining the said clarification from the Certification Unit. Upon receipt of the aforementioned clarification, the Briefing note will be revised and thereafter furnished to the CP for deliberation. 2022-07-27: The Briefing Note has been submitted for peer review and an internal meeting will be scheduled for further discussion. 2022-06-29: Pending finalisation of the Briefing Note. 2022-05-25: The Secretariat held an internal meeting for the finalisation of the Briefing Note on 20. 05. 2022. Pending finalisation of Briefing Note. 2022-04-29: Clarification regarding the Compliance Audit report has been obtained from ASI and the Secretariat will proceed with the preparation of the Briefing Note for submission. 2022-03-30: Pending clarification from the Certification Unit regarding the Compliance Audit Report. 2022-02-23: 2020-11-25: Pending consolidated investigation by auditors. 2020-10-28: The Briefing Note has been endorsed.The Secretariat is to proceed with a consolidated investigation of the allegations raised. 2020-09-23: The Briefing Note will be furnished to the CP members after the peer review is completed. 2020-08-26: The Briefing Note is in the midst of being finalised. 2020-07-29: The Briefing Note is completed and is going through the process of peer review. 2020-06-24: Pending internal discussion and completion of Briefing Note. 2020-05-20: Pending completion of briefing note. 2020-04-29: Briefing Note in progress. 2020-03-25: Briefing note in progress. 2020-02-26: The Secretariat is reviewing the Special Audit report obtained by the Assurance Team and will update the CP members on the progress. 2020-01-29: Investigation ongoing. 2019-11-27: Review of supporting documents ongoing. 2019-10-23: Internal review is ongoing. 2019-09-25: The Secretariat is reviewing the supporting documents and information submitted. 2019-08-28: The Secretariat is still waiting for a response from the Complainant. 2019-07-24: The Secretariat is reviewing the response submitted by the Respondent and its supporting documents. 2019-06-26: The Initial Diagnosis is endorsed by the CP and the Complaint is formally accepted.",https://rspo.my.site.com/Complaint/s/case/5000o00002PY2NZAA1/detail,{'case_number': 'RSPO/2019/07/IR'}
69,Roundtable on Sustainable Palm Oil (RSPO),5000o00002PXJKaAAP,Closed,3/22/2019,5/17/2019,5/29/2021,Peru,"Nueva Requena District, Ucayali",Community of Santa Clara de Uchunya,Oleaginosas Del Peru S.A - OLPESA,Oil Palm Growers,,,1. Sourcing FFB from unsustainable origin. 2. Failure to conduct SIA.,2021-05-29: Appeals period has expired without any appeal. Complaint is officially closed. 2021-05-25: 2020-11-25: Pending submission of the Briefing Note. 2020-10-28: The Secretariat will be proceeding with the Briefing Note. 2020-09-23: The Secretariat has received the translated version of the final response from the Respondent. 2020-08-26: The Complainant informed the Secretariat that they wish to respond to the Respondents response.The Complainant furnished their response to the Secretariat on 21. 08. 2020. 2020-07-29: The Secretariat has furnished all the documents from the Respondent to the Complainant. Pending a response from the Complainant on the Respondents documents. 2020-06-24: The Respondent has responded with requested clarification by the Secretariat. The Secretariat is to have an internal discussion on the next course of action before updating parties. 2020-05-20: Internal review of documents for preparation of Briefing Note completed. The Secretariat is to hold an internal discussion on the next course of action. 2020-04-29: Internal review ongoing in preparation for drafting of the Briefing Note. 2020-03-25: Internal review ongoing for the preparation of the Briefing Note. 2020-02-26: The Internal review is ongoing for the preparation of the Briefing Note. 2020-01-29: Investigation ongoing. To proceed with the drafting of the Briefing Note thereafter. 2019-11-27: Pending internal review of the documents furnished by the Respondent. 2019-10-23: Internal review ongoing. 2019-09-25: The Secretariat to proceed to have this matter monitored under IMU while the Complaint proceeds in accordance with the Complaints and Appeals Procedure. 2019-08-28: The Secretariat is currently reviewing the response from the Respondent.An ad hoc meeting will be held to discuss other issues raised pertaining to this Complaint. 2019-07-24: The Secretariat has received a formal response from the Respondent but the documents are in the Spanish language. The Secretariat is at present waiting for the English translation. 2019-06-26: Pending formal response from the Respondent. 2019-05-29: The Secretariat has issued an email to the Complainant seeking clarification and the Complainant is to respond by Friday (31. 05. 2019). 2019-05-17: The Initial Diagnosis is endorsed by the CP and the Complaint is formally accepted.,https://rspo.my.site.com/Complaint/s/case/5000o00002PXJKaAAP/detail,{'case_number': 'RSPO/2019/05/PR'}
70,Roundtable on Sustainable Palm Oil (RSPO),5000o00002KMsHcAAL,Closed,3/12/2019,6/26/2019,1/16/2021,Indonesia,"Kota Palembang, South Sumatera",Hutan Kita Institute (HaKI),PT Berkat Sawit Sejati,Oil Palm Growers,PT Musim Mas,,"The respondent allegedlyusing the area of Dangku Wildlife Reserve (SM)(Approx. 2,600 Ha) and production forest area (HP) of (approx. 3,200 Ha).","2022-11-17: Complaints Panel's amendment to the decision letter dated 21 October 2020. 2021-01-20: 2021-01-16: No appeal by parties and the appeals period has ended, therefore this Complaint is officially closed. 2020-11-25: Pending the expiry of the appeal period on 15. 01. 2021. 2020-10-21: The Complaints Panel Decision has been delivered to both parties to the Complaint. 2020-09-23: The draft decision letter has been furnished to the CP members for endorsement. 2020-08-26: Decision letter is being drafted. 2020-07-29: The BioDiversity Unit has confirmed that the land clearance in this case is outside the mandate of RSPO because the land clearance was before 2005 and by a non RSPO member.CP deliberations ongoing before delivery of decision. 2020-06-24: Briefing Note is undergoing peer review. 2020-05-20: Pending completion of Briefing Note. 2020-04-29: Briefing Note in progress. 2020-03-25: Briefing note in progress. 2020-02-26: The Briefing Note is in progress. 2020-01-29: Investigation phase is completed. The Secretariat will proceed with the drafting of Briefing Note. 2019-11-27: Review of supporting documents ongoing. 2019-10-23: Internal review is ongoing. 2019-09-25: The Secretariat is reviewing the supporting documents and information submitted. 2019-08-28: The Respondents response has been shared with the Complainant and that the Secretariat is now waiting for the Complainants response. 2019-07-24: The Secretariat is reviewing the response submitted by the Respondent together with its supporting documents. 2019-06-26: The Initial Diagnosis is endorsed by the CP and the Complaint is formally accepted.",https://rspo.my.site.com/Complaint/s/case/5000o00002KMsHcAAL/detail,{'case_number': 'RSPO/2019/04/IR'}
