BOW_Word,BOW_Frequency,TFIDF_Word,TFIDF_Score
evidence,14,25,5.757759987143322
allegation,14,habitat,5.75278465109401
time,14,based,5.736041925286885
continued,13,employees,5.720587373419184
managed,13,sustainable,5.707835630211231
called,13,felda,5.703364931247349
small,13,abadi,5.69873103555543
stakeholders,13,permata,5.6955052020481824
laws,13,agri,5.67443673036864
potential,13,conservation,5.661999882544665
20,13,work,5.652025781533158
november,13,fgv,5.6494506912805
namely,13,stated,5.627694117897855
subsidiaries,13,informed,5.581265192319301
listed,13,sourcing,5.577440509105612
order,13,complaints,5.55668802664599
impact,13,tani,5.5405237010530834
nusantara,13,dec,5.540215218855661
tunggal,13,carbon,5.537391339406185
carrying,13,wages,5.50865799099852
units,13,compliance,5.48519843385571
respondents,13,13,5.476695780175025
people,13,protection,5.468749869698737
progress,13,stock,5.44526453836819
2012,13,continued,5.43896485538653
reserve,13,sumber,5.436820310422325
place,13,hijau,5.417191036437688
17,13,use,5.40696524439236
payment,12,tunggal,5.402611407844787
inti,12,21,5.387349815822207
ii,12,indonesian,5.381199485724184
24,12,sumatra,5.377393704827988
farmers,12,fruit,5.367262058774972
proper,12,subsidiaries,5.353541978792354
pollution,12,mulia,5.351297770584124
raised,12,according,5.346450278455216
2014,12,10,5.331964723599298
regarding,12,villagers,5.315273042658249
ptpn,12,acres,5.299422538283746
and,12,procedure,5.295174367006821
police,12,2013,5.293424990788009
filed,12,cipta,5.280238399798195
used,12,located,5.271644899065312
carried,12,usaha,5.260333043300928
health,12,activities,5.246402606252181
peputra,12,criteria,5.223806664377215
paid,12,information,5.197172565912767
makmur,12,niaga,5.196925997834946
lodged,12,worker,5.159495595502672
concessions,12,pertaining,5.151978112708972
wilmar,12,eia,5.150758504039343
actions,12,carrying,5.1442241161144295
issued,12,impacts,5.13673110039076
issue,12,mills,5.110880708101122
central,12,indo,5.110628384498698
sep,12,government,5.097736285458749
usaha,11,andalan,5.096373432850736
plan,11,sarana,5.0878909959762035
15,11,sourced,5.083709521706448
us,11,berhad,5.067806085571156
international,11,reserve,5.064810242676009
party,11,2010,5.056081599660688
follow,11,parties,5.055082428603317
mas,11,commitment,5.050831043391001
nov,11,wildlife,5.000859746819373
indofood,11,destruction,5.00034764792636
ministry,11,kencana,4.982005468118858
mulia,11,preparation,4.980284415651232
surya,11,mandiri,4.9527991954043635
countdown,11,aceh,4.9503413289210965
lack,11,health,4.946636764121203
10,11,district,4.930111480349833
even,11,watch,4.927732243368471
third,11,evidence,4.922700625613107
kampar,11,involved,4.91660035600038
legal,11,loss,4.889894305637803
wildlife,11,betabuh,4.889509170784292
aug,11,sia,4.884540483396794
acres,11,pay,4.8832971426336504
province,11,december,4.876265233505795
district,11,failure,4.871988190489125
or,11,peatland,4.869341780251307
however,11,trade,4.85515659154284
bpjs,11,farmers,4.84599903392006
14,11,stakeholders,4.834161255616705
global,11,rainforest,4.826251067808062
omnibus,10,dismissed,4.809766364836101
biodiversity,10,termination,4.794839892403944
permit,10,sejati,4.790749619313476
assessments,10,management,4.782285812803116
puja,10,rayatama,4.773697513558757
13,10,inti,4.768493733237773
publication,10,various,4.767455678287576
07,10,muda,4.7569448588326875
procedures,10,prasetya,4.7569448588326875
detected,10,ii,4.747302748179318
sarimas,10,membership,4.721523410444602
ownership,10,kpc,4.717286615207009
dharma,10,eagle,4.680000337365026
department,10,krida,4.635701171743602
orangutan,10,dharma,4.635701171743602
outside,10,kahuripan,4.635701171743602
developed,10,actions,4.633217774733643
peoples,10,27,4.630878586697673
peatlands,10,tigapuluh,4.6307930943336375
permata,10,nilo,4.6307930943336375
early,10,tiger,4.6307930943336375
field,10,corridor,4.6307930943336375
protection,10,tesso,4.6307930943336375
feb,10,estate,4.628883240586213
general,10,operations,4.628133073013963
public,10,mar,4.6234891789639425
2015,10,fulfill,4.618933212172515
synopsis,10,allocate,4.618933212172515
court,10,despite,4.59804321420349
meeting,10,issue,4.589720700884476
january,10,head,4.584322568409127
media,10,developing,4.580877961444678
kahuripan,10,practices,4.552300624304413
termination,10,following,4.550865368253142
singkil,10,corporate,4.527325049644839
rayatama,10,people,4.526651346780759
yet,10,30,4.5195174348917
11,10,indigenous,4.514925114124882
conditions,10,utama,4.514773391908525
consultation,10,2012,4.50553922138377
comply,10,using,4.492408026931723
supra,10,place,4.487823322594675
krida,10,standards,4.485833642664494
sungai,10,mopoli,4.473773735731932
claim,10,individuals,4.463520512493193
de,10,accordance,4.457604983527803
indonesian,10,carried,4.454728268172287
nagari,10,called,4.4459212037783455
cipta,10,waste,4.445811713538261
membership,10,operation,4.441251916227818
tasma,10,proper,4.438178052125948
part,10,east,4.433468406704021
head,10,submitted,4.429618876009519
responsibility,10,international,4.426619112217648
hulu,10,outside,4.417262999182018
sekar,10,died,4.405146321973427
business,10,documents,4.402543823453673
indragiri,9,mediation,4.397590543600646
nine,9,putra,4.379420747120015
agrolika,9,rspos,4.370308925891271
iii,9,progress,4.3594984126864365
abadi,9,sungai,4.356819863901867
team,9,panel,4.3483684926808435
903,9,transnational,4.337549813263989
natural,9,rimba,4.331863396455397
shall,9,permit,4.328734365413425
inecda,9,resulted,4.327837379733328
muda,9,capitol,4.3237625104687325
jan,9,committing,4.315739454468628
menlhk,9,party,4.301395752151992
ministerial,9,11,4.290295995340216
setjen,9,ivo,4.271063750203832
set,9,iii,4.262530752587217
code,9,responsibility,4.261034004740396
many,9,january,4.2601173794125575
agri,9,engaged,4.248979448555173
sourced,9,synopsis,4.245885620878672
major,9,contract,4.242725917338482
exploitation,9,deforesters,4.228997468001461
eyes,9,peoples,4.221585534989426
years,9,used,4.220518832772857
worker,9,illegally,4.217493618953621
automatic,9,estates,4.213597427587383
august,9,scheme,4.208600121530396
contaminated,9,wastewater,4.1979096213564615
legalization,9,reaction,4.196447889273969
committing,9,sources,4.193809404745802
kencana,9,concerns,4.192903547095884
sustainability,9,bpjs,4.190364232886823
employees,9,exploitation,4.178176745237079
watch,9,forestry,4.163123236229178
rimba,9,orangutans,4.160178783998221
gandaerah,9,uganda,4.154262310771086
payung,9,series,4.146220818362913
43,9,filed,4.14385295602648
handling,9,buy,4.13623201655027
another,9,sukses,4.133530160307268
tri,9,ministry,4.121967889995913
tracker,9,salary,4.1211023159370415
desa,9,jambi,4.104628913398932
hendana,9,raised,4.098614943478844
secretariat,9,processing,4.096194289562649
scheme,9,transparency,4.089958977289315
habitat,9,unsustainable,4.086757272367792
official,9,affecting,4.062523282863885
updated,9,lodged,4.059737374507072
request,9,road,4.051850257332372
prasetya,9,farm,4.050673794543853
pla,9,value,4.047601096086028
resulted,9,family,4.045252293280785
plant,9,sumur,4.043819435857725
done,9,regulations,4.033547579073893
processing,9,venture,4.031735816345739
felda,9,conduct,4.027958987045922
fact,9,secretariat,4.027146054875117
website,9,destroyed,4.02298935512137
reksa,9,28,4.0123121569352245
regularly,9,2023,3.99664928174325
bakti,9,peputra,3.9924623453191854
available,9,nusa,3.982539603861318
written,9,findings,3.9710165565017177
mandiri,8,sinar,3.9556163455585542
march,8,damage,3.9530985142161077
eia,8,grab,3.9499290818042283
eagle,8,decree,3.944189984766963
source,8,breach,3.9367930742441137
provide,8,severance,3.922974982992799
forestry,8,walhi,3.9217829802744886
relevant,8,free,3.8987516055243137
full,8,grabbing,3.896749658418421
required,8,license,3.895336529983205
caused,8,order,3.872651065017578
loss,8,tsh,3.8718422765578135
developing,8,audit,3.871401557780271
23,8,terminated,3.862169299649807
gvl,8,plc,3.859516728316165
state,8,presco,3.859516728316165
25,8,sarimas,3.859370334666037
30,8,research,3.814360597013099
regulations,8,equipment,3.8019506126614067
verification,8,genting,3.7983491770093085
plantings,8,cooperative,3.7974879650484663
destroyed,8,major,3.794263843846617
preparation,8,prepared,3.7886127018886446
zone,8,early,3.7806298348242753
000,8,surya,3.7759614308064284
safety,8,breaches,3.7674708653450324
control,8,website,3.7672653057258
contract,8,accused,3.7649383348252816
damage,8,forced,3.764016677979625
independent,8,comply,3.7625138802245095
peatland,8,2014,3.7615391914454186
corporate,8,unjustifiably,3.751999109419985
off,8,nagari,3.75179394798465
breached,8,temporary,3.7469157436888385
crops,8,principles,3.7452434428528694
security,8,primary,3.7425910608675776
ensure,8,pandanwangi,3.7300956424112672
operation,8,business,3.7235770569160698
burning,8,lowland,3.7133475538308276
illegally,8,sentosa,3.7123010745460894
pertaining,8,wage,3.7106366051469304
well,8,acquired,3.702315151166935
rules,8,50,3.6951868935624974
taken,8,causing,3.6927098620368928
sumatra,8,incidents,3.667660764065109
october,8,anugerah,3.6646452742084907
sumur,8,claim,3.657796419846996
result,8,units,3.6529674564113996
acquired,8,intimidation,3.651334489790118
review,8,march,3.647470500715249
ltd,7,spmn,3.64338152390867
certified,7,multi,3.64338152390867
accordance,7,khatulistiwa,3.6321714873492
industry,7,mechanism,3.631857768941308
dated,7,borneo,3.6260405596140206
limited,7,bengkung,3.617285970634333
holder,7,breached,3.613998864960611
groups,7,kebun,3.603937431345148
commitment,7,source,3.6030632708659365
forced,7,october,3.599389987379706
update,7,timur,3.59864629462701
utama,7,available,3.596781285491811
practices,7,acquisition,3.5873704846381855
species,7,property,3.578597805705375
agency,7,tpols,3.5784624691419733
project,7,hulu,3.5759147729956196
value,7,plan,3.5579698755245093
still,7,field,3.556366775659069
audit,7,bilateral,3.5457277841022465
must,7,darby,3.5374462729515326
first,7,sime,3.5374462729515326
documents,7,kartika,3.537369857674108
formal,7,poor,3.5361538489602884
concerns,7,2015,3.5356516672583895
property,7,tualang,3.5283580269808676
back,7,permai,3.5268928589415833
pandanwangi,7,publication,3.5175239961171503
establish,7,rawa,3.517234720458994
wages,7,corporation,3.512341854900741
buy,7,security,3.5115177464885936
equipment,7,plant,3.50957836862856
la,7,holdings,3.4998722513271225
involved,7,species,3.497860728646911
buffer,7,province,3.49697837575808
2010,7,2017,3.4962104017203646
several,7,austindo,3.495203251935119
shows,7,shadow,3.4931219523130537
electricity,7,dinant,3.4930163022334266
mediation,7,rajawali,3.4899057564615967
mechanism,7,deadly,3.4899057564615967
failure,7,later,3.4811813463176415
affecting,7,33,3.4731986500681122
enter,7,developed,3.467632371923572
tani,7,rendi,3.4650663180380583
cost,7,fish,3.463442454161373
family,7,harvested,3.4498257864057393
indah,7,purchased,3.4498257864057393
acquisition,7,landowners,3.4469334055618694
sejahtera,7,festive,3.4393521229079242
kpc,7,omnibus,3.4387876623587177
bilateral,7,obtaining,3.428001904101349
policies,7,haji,3.424808697335214
betabuh,7,reportedly,3.4187009844071423
sukses,7,sekar,3.414492437774393
transparency,7,approx,3.4111232443830435
indication,7,sustainability,3.4008396818786077
day,7,fpp,3.397251401490691
among,7,29,3.3839355280887835
aceh,7,listed,3.3828943099367437
least,7,conducting,3.375209833414577
large,7,august,3.373221909741113
dec,7,laborers,3.366075648165519
breach,7,tanjung,3.364735723017401
hak,7,meeting,3.364198373157964
studies,7,goodhope,3.361724467966504
resolution,7,tasma,3.357445733185597
resolve,7,puja,3.357445733185597
address,7,kampar,3.355746449337714
released,6,minimum,3.3422314462485914
publicly,6,semesta,3.340555497018467
share,6,rupit,3.336499259874844
matter,6,owner,3.3353752769211273
mdash,6,asia,3.3327900421595906
environment,6,hak,3.32852014527312
agreed,6,sipef,3.3008939845250636
sourcing,6,cutting,3.295759155806288
mongabay,6,consultation,3.282299013150368
mar,6,plantings,3.2803735725526604
smallholder,6,07,3.2776201940223295
registered,6,supra,3.2672367972233958
requested,6,ketapang,3.2651638353714083
practice,6,31,3.2575230343427055
fpp,6,insurance,3.2517309715342764
basis,6,asmr,3.250892636492929
force,6,destroying,3.2435965894281784
status,6,teupin,3.2409354515642868
months,6,lada,3.2409354515642868
negative,6,16,3.2358224748413913
name,6,follow,3.2352974299489254
niaga,6,construction,3.232509940249965
main,6,hamparan,3.230876604671591
bank,6,partnership,3.2297604740490424
food,6,dismissal,3.2297179602361465
2017,6,39,3.2283600372205683
26,6,42,3.22806031131534
completed,6,request,3.22791589943
standard,6,golden,3.2190095725052243
east,6,department,3.217663658557583
violated,6,basis,3.216007555025004
2011,6,written,3.2110349071934987
rawa,6,time,3.2088360167157712
living,6,holidays,3.195647537019087
negotiations,6,trees,3.191661668257698
lowland,6,78,3.1880375480210374
benefits,6,sisirau,3.1845186728144914
given,6,amnl,3.1824704292022616
genting,6,living,3.1801333094355253
goodhope,6,shows,3.1708828498054644
ground,6,smart,3.1704208816348762
promoting,6,joint,3.1696221433252205
promote,6,court,3.1695565491628086
deforesters,6,policies,3.167673034481039
board,6,109,3.159869753769787
trees,6,selaras,3.159795351202707
transnational,6,tbk,3.1528865965053523
responsible,6,friends,3.1482327039676843
degradation,6,official,3.1446718617683476
approved,6,tabung,3.139422023009776
plants,6,cumberbatch,3.139422023009776
plans,6,carson,3.139422023009776
harapan,6,korindo,3.139422023009776
develop,6,sms,3.13447611756473
haji,6,cooperation,3.1260738575702423
best,6,ownership,3.124642268484384
destroying,6,liberia,3.1244619143922128
act,6,hardaya,3.123428421670782
nilo,6,violated,3.1203245610722985
holdings,6,taken,3.1119251353921524
along,6,best,3.1091630895122506
impacts,6,situation,3.102388517893012
license,6,day,3.099521651297702
decision,6,force,3.092307227353976
timur,6,mongabay,3.0886436995955044
cao,6,kelompok,3.084897433083988
obtained,6,rules,3.082968019675971
sumber,6,apr,3.081982843311348
tigapuluh,6,pundi,3.0792669904796868
three,6,lahan,3.0792669904796868
tiger,6,koperasi,3.0790530148222373
cutting,6,material,3.0783846984427203
deadly,6,grown,3.0782540390660986
borneo,6,general,3.0700761401006513
insurance,6,legal,3.0619074103416586
individuals,6,harapan,3.052874033925085
intimidation,6,procedures,3.045640441544832
involvement,6,polluting,3.0428240628967735
partnership,6,updated,3.0409870004070636
tesso,6,reksa,3.0409870004070636
joint,6,setjen,3.0409870004070636
sejati,6,43,3.0409870004070636
orangutans,6,agrolika,3.0409870004070636
cooperative,6,bakti,3.0409870004070636
suspension,6,ministerial,3.0409870004070636
kartika,6,payung,3.0409870004070636
corridor,6,pla,3.0409870004070636
owner,6,inecda,3.0409870004070636
cover,6,indragiri,3.0409870004070636
take,6,legalization,3.0409870004070636
rainforest,6,menlhk,3.0409870004070636
austindo,6,handling,3.0409870004070636
minimum,6,hendana,3.0409870004070636
rajawali,6,gandaerah,3.0409870004070636
putra,6,tracker,3.0409870004070636
farm,6,automatic,3.0409870004070636
would,6,regularly,3.0409870004070636
16,5,903,3.0409870004070636
wastewater,5,tri,3.0409870004070636
february,5,eyes,3.0409870004070636
question,5,rubber,3.0363121987332713
reaction,5,madu,3.035521947248302
show,5,sss,3.0291839120950907
situation,5,result,3.0290478356591835
sipef,5,kutai,3.028009078403798
way,5,team,3.0267857183539455
receive,5,rrr,3.025548724715553
end,5,provincial,3.0255112043262598
tabung,5,seeking,3.017889077064076
system,5,stake,3.014224750245865
tanjung,5,bidco,3.014224750245865
access,5,perkebunan,3.012738641739033
owners,5,negotiations,3.0066837559761606
andalan,5,link,3.0064426499523926
rupit,5,acknowledged,3.004604425943903
kapuasindo,5,mdash,3.0037796340952183
ketapang,5,satellite,3.000996812089217
on,5,association,2.9989270135002797
korindo,5,signed,2.996021371019643
construction,5,exposed,2.994440825843822
bring,5,bonus,2.9937600955733954
cumberbatch,5,pusaka,2.9918647894297927
satellite,5,smallholder,2.9912550404748153
participatory,5,share,2.9906095466457603
criterion,5,unilateral,2.985132377235793
revenue,5,alm,2.9751615129256845
risk,5,state,2.9700401745441165
indo,5,2024,2.9627649782751653
anugerah,5,prigel,2.9564238444109243
road,5,crops,2.9504616789996034
rivers,5,jul,2.949440543071801
contradicts,5,required,2.9410834353724993
later,5,degradation,2.9392229221465236
last,5,completed,2.9298381129116713
carson,5,article,2.9271380350885132
income,5,cost,2.9236492151668965
therefore,5,jun,2.9234997847088833
timber,5,sae,2.92010956804149
revocation,5,asj,2.915425742012309
reviewed,5,cao,2.913590325951481
house,5,lampung,2.908060136885296
permits,5,ventures,2.90141453380099
declared,5,malaysian,2.90141453380099
level,5,kapuasindo,2.8927762700723876
conducting,5,caused,2.886895257068134
condong,5,house,2.8820428029731957
allowance,5,years,2.8773613558311304
seeking,5,kpn,2.8727303939325273
sentosa,5,develop,2.8721797215455296
subsequently,5,allocation,2.8680222027983495
hijau,5,months,2.8534202439009553
hotspot,5,occupational,2.845072928970753
respond,5,suhaid,2.8367439921980333
results,5,nanga,2.8367439921980333
plantaciones,5,environment,2.835668595624359
tpols,5,muara,2.834797040083818
transparent,5,transparent,2.831752714909096
price,5,baru,2.8271105284375095
died,5,brought,2.825005100739338
hall,5,mjsp,2.8229278920087215
harvested,5,48,2.81775262442404
unit,5,benefits,2.8145252973275814
submitting,5,tingang,2.8143928654722634
acknowledged,5,owners,2.8131661625618944
location,5,protest,2.811566321015437
carbon,5,approved,2.8114711878936096
cause,5,poisoning,2.7977598163554456
lsm,5,fertiliser,2.7977598163554456
34,5,labourer,2.7977598163554456
guna,5,majority,2.7960930364360976
representatives,5,26,2.793182727197032
representative,5,bangun,2.7924446372470273
research,5,matter,2.7906443859227785
requirements,5,pts,2.7898455024219926
garut,5,address,2.7861716460420114
gloria,5,representative,2.784334945978853
dismissed,5,fresh,2.7830294118859618
dismissal,5,fires,2.7808915925576803
four,5,agency,2.7785739013562054
remarks,5,fact,2.775443270729742
various,5,cause,2.774824172931384
values,5,energie,2.771872110481837
statement,5,arrtu,2.771872110481837
ndpe,5,programme,2.7673256764148206
ngo,5,entry,2.76673011818494
21,5,kallista,2.7645422015073886
2023,5,investigating,2.758282780082444
fish,5,natural,2.75575718637872
proposed,5,2011,2.754261741356738
provincial,5,death,2.7526827079981
purchased,5,code,2.752431445655391
pucallpa,5,certified,2.745806672328131
follows,5,overwork,2.739456722482489
re,5,control,2.7320599741541187
fgv,5,growers,2.73015576267394
fishing,5,schemes,2.7279047095882314
refer,5,february,2.727841540607206
reduced,5,sold,2.7246057918472517
villagers,5,bersama,2.718519527533437
via,5,100,2.714502943083531
malaysia,5,claiming,2.713836028648176
make,5,maju,2.7059572719999423
sources,5,coles,2.702278781157851
100,5,independent,2.6798675799488163
world,4,crr,2.672222622466598
year,4,direct,2.6654575567951064
yiari,4,crude,2.661954933759252
2008,4,standard,2.655942652819065
festive,4,location,2.649501245266912
flawed,4,given,2.637823049064083
association,4,moi,2.63293019160294
referring,4,foods,2.63293019160294
clear,4,mml,2.6325302040369
site,4,woolworths,2.6319831532716678
agricultural,4,tunas,2.6297480121366914
around,4,caught,2.628363943705395
putui,4,hall,2.6224685631389257
fires,4,values,2.617620757943609
audits,4,anti,2.616575279106039
fofi,4,origin,2.6163038777127747
drinking,4,secondary,2.6130029058522917
fruits,4,breaching,2.6129760732273857
27,4,fruits,2.609039185575893
fresh,4,title,2.605772075621516
significant,4,agropalma,2.604755856684913
shown,4,milieudefensie,2.6028116769761733
moratorium,4,site,2.6024384304128048
materials,4,set,2.600679820702273
claiming,4,small,2.5995075052852767
collection,4,funds,2.5964370330440874
coles,4,formal,2.593737118605489
megakarya,4,contradicts,2.5892535119145808
future,4,guna,2.5856210414767196
fundamental,4,brands,2.5820188062434104
districts,4,provide,2.574937081164004
digoel,4,ulu,2.57410904104054
bengkung,4,stream,2.5722588032385323
problems,4,untreated,2.5722588032385323
production,4,disposed,2.5722588032385323
product,4,dated,2.5712633778165763
governor,4,mutiara,2.5701192346683825
golden,4,conflicts,2.568203627172739
grievances,4,update,2.5652372044629
grabbing,4,imt,2.5646052196819213
grown,4,assessments,2.5645333291143975
market,4,demanding,2.5645091415855785
solution,4,centre,2.5628461584259057
sold,4,ovre,2.5620394818781382
mapping,4,uses,2.561035778044522
claimants,4,permits,2.5548587122879343
semesta,4,review,2.5527188554913773
services,4,communitys,2.548965800382535
unilateral,4,revenue,2.5441652905306986
uses,4,tree,2.5405630468853664
33,4,capital,2.53670729419183
31,4,pipit,2.5362672351187534
direct,4,president,2.5279533811612014
habitats,4,glp,2.5262494373642004
reportedly,4,julong,2.5234651757692976
replanting,4,aa,2.5223750558263696
never,4,online,2.5211613280943985
companys,4,greenworld,2.520191604467005
communitys,4,bunga,2.520191604467005
maju,4,food,2.519489170909743
majority,4,tuv,2.5185067976844993
