pk,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,summary
449,0,1,1,1,0,0,"A customer reported potential deforestation in Sarawak Oil Palms' (SOP) Sabajau estate. Cargill immediately investigated with SOP, who denied involvement"
450,0,1,1,1,0,0,Liberty Shared submitted a petition against Sime Darby Plantation Berhad alleging forced labor and child labor in their Malaysia operations. The case escalat
451,1,0,1,1,1,0,"A grievance was filed against SIPEF on October 5, 2020, regarding labor rights violations in Indonesia. The allegations were originally raised in 2017 by 11.11."
452,1,0,0,0,0,0,This grievance involves a community land conflict between Wilmar (specifically PT Permata Hijau Pasaman) and local communities. The case was filed as an
453,1,1,1,1,0,0,A grievance was filed in August 2020 by Mighty Earth against Amanah Saham Pahang for alleged deforestation. The complaint suggests that mills in Cargill's
454,0,1,1,1,0,0,Anglo Eastern Plantations faced a grievance for deforestation reported by Mighty Earth in May 2018. Cargill engaged with their direct suppliers and AEP com
455,0,1,1,1,0,0,Mighty Earth raised a grievance against Asam Jawa/Musirawas for deforestation in March 2019. Cargill was impacted through its sourcing with PHG and eng
456,1,1,1,1,0,0,This grievance involves deforestation allegations against Austindo Nusantara Jaya (ANJ). Cargill initially suspended ANJ from its supply chain in October 201
457,0,0,1,1,0,0,A grievance was filed against Beurata Subur Persada in August 2020 regarding a community conflict. Cargill is indirectly connected to Beurata Subur Persada
458,0,1,1,1,0,0,"A grievance was filed against Bima Golden Powerindo in July 2019 by Rainforest Action Network, alleging deforestation by PT Laot Bangko. While Cargill did"
459,0,1,0,0,0,1,Mighty Earth has filed a grievance against Bukit Asam for alleged environmental non-compliance. The grievance was received in August 2021 and is currently
460,1,0,0,0,0,1,"This grievance involves a land conflict dispute at PT Bukit Barisan Indah Prima (BBIP) in Indonesia, where a security incident resulted in a fatality. PT AP, part"
461,0,1,1,1,0,0,Greenpeace raised a grievance against Bumitama in September 2018 regarding deforestation. Cargill engaged with their direct suppliers about the allegation
462,0,1,1,1,0,0,"A grievance was filed against Bunga Group for deforestation concerns in January 2021 by Mighty Earth. Cargill, which has an indirect supplier relationship wit"
463,0,1,1,1,0,0,"A grievance was filed against Capitol Group by Mighty Earth on May 12, 2020, regarding deforestation. Though Capitol Group is not in Cargill's latest mill list, t"
464,0,1,1,1,0,0,"A grievance was raised by Greenpeace in February 2018 against Central Cipta Murdaya, specifically PT Hardaya Inti Plantations, regarding deforestation. Ca"
465,0,0,1,1,0,0,A grievance was filed against Chora Agro Resources in December 2021 regarding alleged environmental and social non-compliance involving Mitra Abadimas
466,0,1,1,1,0,0,"Greenpeace filed a grievance against Cilinadry Anky Abadi (CAA) in February 2018 regarding deforestation. In response, CAA implemented a moratorium on"
467,1,1,1,1,0,0,Greenpeace filed a grievance against Djarum in February 2018 for alleged deforestation and land clearing activities. Cargill engaged with their direct supplier
468,1,1,1,1,0,0,"This grievance involves allegations of deforestation and land conflict against Double Dynasty, an indirect supplier to Cargill. After receiving reports from media"
469,0,1,1,1,0,0,Greenpeace and Cargill's internal monitoring reported deforestation by DTK Opportunity in February 2019. Cargill engaged with their direct supplier regarding
470,0,1,1,1,0,0,"Greenpeace raised a grievance against Eagle High Plantations for deforestation on September 30, 2016. EHP provided evidence that the deforestation was c"
471,1,0,0,0,0,0,A grievance was filed against East New Britain Resources in Papua New Guinea in July 2021 for environmental and social non-compliance. The complaint wa
472,0,1,1,1,0,0,Everbright Resources Cooperations was reported for deforestation by Mighty Earth in March 2019. The company had already been suspended by Cargill's dir
473,0,1,1,1,0,0,A grievance was filed by Mighty Earth against Fangiono Agro Plantation for alleged deforestation in March 2019. Cargill engaged with their direct supplier who
474,0,1,1,1,0,0,A grievance was raised against Gagah Putra Satria Holdings for deforestation and developing on peat. GAR suspended Gagah Putra Satria in May 2020 due
475,0,1,1,1,0,0,Greenpeace raised a grievance against Gama/Ganda associated companies for deforestation in Indonesia in June 2018. Cargill initially clarified they were onl
476,1,1,1,1,0,0,"This grievance report concerns deforestation allegations against Genting, specifically regarding PT Citra Sawit Cemerlang's operations. Cargill engaged with"
477,0,1,1,1,0,0,"Greenpeace filed a grievance against Goodhope for deforestation and exploitation issues. Cargill, as an indirect buyer, communicated expectations for Goodh"
478,0,1,0,1,0,0,"While performing supply chain monitoring, Cargill discovered that the Constitutional Court of Colombia had ordered Grupo Agroindustrial Hacienda La Gloria t"
479,0,1,1,1,0,0,"Greenpeace raised a grievance against IJM Corporation regarding deforestation concerns with PT Prima Bahagia Permai (PT PBP), an indirect supplier to Ca"
480,0,1,1,1,0,0,A grievance was raised by Mighty Earth against Incasi Raya for deforestation in January 2019. Cargill engaged with direct suppliers and learned a moratorium
482,0,1,1,1,0,0,Greenpeace filed a grievance against Indonusa for deforestation. Cargill suspended the supplier from their supply chain after engagement via their direct sup
483,1,0,1,1,1,0,A grievance was raised in July 2019 regarding land rights issues involving Inti Nusa Sejahtera (PT MAS). The case involves a land conflict with an indirect sup
484,1,1,1,1,0,0,A grievance was filed in August 2020 against Instant Star Holdings Sdn Bhd regarding deforestation. The complaint alleges that Aspirasi Kristal's plantations h
485,0,1,1,1,0,0,"Cargill has suspended Jernih Kemboja Sdn Bhd from its supply chain effective March 31, 2022, following evidence of deforestation in Malaysia obtained via s"
486,0,1,1,1,0,0,Mighty Earth filed a grievance against Jhonlin Group in October 2018 for deforestation activities. As a result of unsatisfactory progress in grievance engageme
487,0,1,1,1,0,0,"A grievance was filed against Korindo on July 26, 2016, by Mighty Earth regarding deforestation. The case status is suspended, and Cargill has taken action b"
488,0,1,1,1,0,0,This grievance concerns the Leuser Ecosystem and involves monitoring activities by Cargill. Cargill has requested that their direct suppliers share action plan
489,0,1,1,1,0,0,A grievance was raised against LKPP Corporation Sdn Bhd for deforestation in August 2020. Cargill and other companies held a joint meeting with LKPP to di
490,0,1,0,1,0,0,A grievance was filed against Mulia Sawit Group in March 2019 by Mighty Earth for development on peat. The company had already been suspended by Carg
491,0,1,1,1,0,0,Greenpeace raised a grievance against NPC Resources alleging deforestation of peat. Cargill engaged with their direct supplier in February 2018 and implem
492,0,1,1,1,0,0,"A grievance was filed against Palma Serasih in March 2019 by Mighty Earth regarding deforestation concerns. Cargill, as an indirect buyer, raised the issue wi"
493,1,1,1,1,0,0,"This grievance concerns allegations of deforestation in the Leuser Ecosystem by PTPN 1, reported by Rainforest Action Network in May 2019. PTPN 1 claims"
494,0,0,0,1,0,0,"A grievance was filed on November 1, 2016, against PT Abdi Budi Mulia and PT Sarana Prima Multi Niaga for labor exploitation. Field visits were conducted b"
495,0,1,1,1,0,0,PT Koperasi Prima Jasa (PT KPJ) was reported for allegedly sourcing from PT Agra Bumi Niaga (PT ABN) where deforestation was occurring. Following the g
496,0,1,0,1,0,0,"A grievance was filed against PT Andika Permata Sawit Lestari on August 5, 2016, alleging burning and community intimidation. PT APSL clarified that fires oc"
497,0,1,1,0,0,0,This grievance was raised by Rainforest Action Network against PT Bumi Daya Agrotamas for sourcing from deforested areas. Cargill has engaged with direct
498,1,0,0,1,0,0,"The grievance involves allegations of forced labor against PT. Dewa Rencana Perangin Angin in Indonesia, reported by Mongabay in March 2022. Cargill inve"
499,0,1,1,1,0,0,"A grievance was filed in August 2020 by the Rainforest Action Network against PT Dua Perkasa Lestari regarding a community conflict. Cargill, who was indir"
500,0,1,1,1,0,0,A grievance was filed against PT Ensem Sawita for sourcing from a deforested area through PT ABN. PT Ensem Sawita claimed they unknowingly sourced fr
501,0,1,1,1,0,0,"The grievance involves PT Global Sawit Semesta (PT GSS) sourcing from deforested areas, specifically from suppliers operating in the Leuser Ecosystem. In"
502,0,1,1,1,0,0,"Greenpeace filed a grievance against PT Henrison Inti Persada and PT Pusaka Agro Lestari in January 2017 for deforestation. The companies, which are indi"
503,0,1,1,1,0,0,"The grievance involves PT Samudera Sawit Nabati (PT SSN) allegedly sourcing from deforested areas, raised by Rainforest Action Network in October 2019."
504,0,1,1,1,0,0,Cargill received a grievance report from Mighty Earth and Environmental Investigation Agency regarding alleged environmental non-compliance by PT Sawit
505,1,0,0,0,0,0,"This grievance case involves a community land conflict with PT Sintang Raya, reported through internal monitoring on August 2, 2016. The issue was brought"
506,0,1,1,0,0,0,"Mighty Earth raised a grievance against Pundi Group in February 2019. The case was reported to Cargill, who identified Pundi Group as an indirect supplier."
507,0,1,1,1,0,0,A grievance was filed against QL Resources in June 2020 regarding deforestation issues. Cargill contacted their direct suppliers who engage with QL Resourc
508,0,1,1,1,0,0,A grievance was filed by Greenpeace against Rimbunan Hijau in October 2018 regarding deforestation in Malaysia and Papua New Guinea. The supplier has
509,0,1,1,1,0,0,"Greenpeace filed a grievance against Samling Group for deforestation in Indonesia and Malaysia. Cargill engaged with direct suppliers Wilmar, Sime Darby, a"
510,0,1,1,1,0,0,Saraswanti Sawit Makmur was reported in a grievance raised by Foresthints in February 2019. The company was suspended by Cargill's direct suppliers at th
511,0,1,1,1,0,0,"Rainforest Action Network filed a grievance against Surya Panen Subur II in November 2016 regarding deforestation concerns. As a response, Cargill remove"
512,0,1,1,1,0,0,"Rainforest Action Network raised a grievance against Syaukath Sejahtera for deforestation issues, particularly related to sourcing from PT Tualang Raya. Car"
513,1,1,1,0,0,1,This grievance involves allegations of sourcing palm oil from the Tesso Nilo national park. Eyes on the Forest reported that several mills were receiving Fresh
514,0,1,1,1,0,0,A grievance was filed against PT Teupin Lada for deforestation issues in August 2020. Cargill discovered indirect supply chain connections to PT Teupin Lada
515,1,1,1,1,0,0,Greenpeace filed a grievance against TH Plantation for deforestation in September 2016. THP agreed to stop further land-clearing while a review was conduc
516,0,1,1,0,0,0,Mighty Earth filed a grievance against Tsani Hutani Abadi in November 2018. The company was suspended by Cargill's direct suppliers at the point of engage
517,0,0,1,1,0,0,Greenpeace raised a grievance against Tunas Baru Lampung (TBL) regarding development on peat in January 2017. Cargill engaged with direct suppliers ab
518,1,1,1,1,0,0,"The grievance involves allegations of deforestation by PT MIP, reported by Mighty Earth in August 2018. Cargill engaged with direct suppliers and found that a"
519,1,1,1,1,0,0,"This grievance involves allegations against YP Plantation for peat development and land prepared for clearing, with concerns that mills in Cargill's supply chai"
520,0,1,1,1,0,0,"A grievance was filed against Yayasan Pelajaran Johor in January 2021 for deforestation. Cargill, who has an indirect supplier relationship with the organizatio"
521,1,1,1,1,0,0,A grievance was raised against PT Prasetya Mitra Muda: NSS Group for alleged deforestation and/or peatland development. The allegation was reported by
522,1,1,1,1,0,0,A grievance was raised against PT Inti Kabun Sawit (Fangiono family) for alleged deforestation and peatland development as reported by Mighty Earth. Hersh
523,1,1,1,1,0,0,A grievance was raised against Serijaya Industri Sdn Bhd (Innoprise Group) alleging deforestation and/or peatland development. The issue was reported by
524,1,1,1,1,0,0,Mighty Earth reported allegations of deforestation and/or peatland development against Mutiara Pelita Genaan Plantation (Double Dynasty Group) in Rapid R
525,1,1,1,1,0,0,"Medan Mestika Sdn Bhd was reported by Mighty Earth for alleged deforestation and peatland development. Hershey investigated the grievance, finding the s"
526,1,1,1,1,0,0,The grievance against PT Kalimantan Hamparan Sawit: ABM Group involves allegations of deforestation and peatland development reported by Mighty Earth.
527,1,1,1,1,0,0,PT Banyan Tumbuh Lestari was reported by Mighty Earth for alleged deforestation and peatland development. Hershey's had connections to Provident Group
528,1,0,1,1,0,0,"Allegations and concerns were raised about PT Sarana Esa Cita, a Musim Mas subsidiary, regarding imposed HCV/HCS without Free, Prior and Informed Co"
529,1,1,1,1,0,0,Allegations of deforestation and peatland development by PT Lahan Agro Inti Ketapang (LAIK) in West Kalimantan were reported by Nustantara Atlas. The su
530,1,1,1,1,0,0,A grievance was raised against PT Kusuma Alam Sari (Alas Kusuma Group) for alleged deforestation and peatland development as reported by Mighty Earth
531,1,1,1,1,0,0,A grievance was raised against PIJ Plantation and Agriculture SB regarding allegations of deforestation and/or peatland development as reported by Mighty E
533,0,1,1,1,0,0,"PT Sebuku Inti Plantation (PT SIP) was reported by Mighty Earth for alleged deforestation. Multiple Hershey suppliers including AAK, Bunge, and Fuji took act"
534,1,1,1,1,0,0,PT Sawit Sukses Sejati Group faced allegations of deforestation and peatland development reported by Mighty Earth. Multiple suppliers including PT Sumber
535,1,1,1,1,0,0,Mighty Earth reported allegations of deforestation and peatland development against PT Usaha Sawit Unggul Group in Rapid Response report 39. Hershey c
536,1,1,1,1,1,0,"A grievance was raised against Brasil BioFuels alleging deforestation, human rights violations, and land conflicts. Chain Reaction Research and Farmlandgra"
537,1,0,1,1,0,0,"The Gecko Project raised allegations of plasma violations against PT Agrolestari Sentosa, a palm oil supplier linked to Hershey. Hershey contacted direct sup"
538,0,1,1,1,0,0,The grievance against Astra Agro Lestari involves concerns about deforestation near the Martabe mine and potential threats to Tapanuli orangutans. Multiple
539,0,0,0,1,1,0,PT Dewa Rencana Perangin Angin was investigated for human rights and labor issues including potential forced labor. Hershey issued a 'No Buy' order in Au
540,1,1,1,1,0,0,"A grievance was raised against PT Multipersada Gatramegah: Musim Mas for alleged deforestation and peatland development, as reported by Mighty Earth in"
541,1,1,1,1,0,0,PT Kencana Alam Permai was accused of deforestation and peatland development by Mighty Earth in their Rapid Response report 37. GAR's engagement wi
542,0,0,1,0,0,0,"A grievance was raised against multiple palm oil suppliers, including PT Tasma Puja, PT Ciliandra Perkasa, PT Padasa Enam Utama, and PT Rezeki Kencan"
543,1,0,1,0,1,0,"REPSA, a palm oil supplier connected to Hershey through AAK and Cargill, faced allegations of human rights violations, violence against defenders, and envir"
544,1,1,1,0,0,0,A grievance was raised against PKPS for allegedly clearing a peat swamp forest in Malaysia without an Environmental Impact Assessment. Hershey issued a
545,0,1,1,1,0,0,"Mongabay reported deforestation in orangutan habitats near 10 mills in West Kalimantan, Indonesia between January-May 2019. Hershey investigated possib"
546,0,1,1,1,0,0,"A grievance was raised against Genting Plantations' PT Citra Sawit Cemerlang for alleged deforestation of over 2,045 hectares since January 2016. Mighty E"
547,1,1,1,1,0,0,"PT Agro Muara Rupit faced allegations of deforestation and peatland development. Hershey contacted multiple direct suppliers including AAK, Bunge, Cargill,"
548,1,1,1,1,0,0,The grievance against LKPP Corporation Sdn Bhd involves allegations of deforestation and peatland development. Hershey contacted suppliers with connecti
549,1,1,1,1,0,0,"RAN reported deforestation in Indonesia's Leuser Ecosystem, submitting grievances against 12 companies allegedly clearing forests for palm oil production."
550,1,1,1,1,0,0,"PT Permata Hijau was reported by RAN for sourcing from suppliers who clear forests and peatland in the Leuser Ecosystem. Hershey issued ""No Buy"" orders"
551,1,0,1,1,1,0,"A grievance was raised against IOI Corporation Bhd regarding labor rights violations at multiple estates. Allegations include worker exploitation, forced labor, il"
552,0,1,1,1,0,0,Liberty Shared submitted a petition to U.S. Customs and Border Protection alleging forced labor and child labor violations at Sime Darby Plantations Berhad.
553,0,1,1,1,0,0,"Mighty Earth reported deforestation by Samling Group in April 2020, leading Hershey to issue a 'No Buy' order. Multiple direct suppliers including Wilmar and"
554,1,1,1,1,0,0,Allegations of deforestation and peatland development were reported against Leuser Ecosystem suppliers PT Indo Alam and PT Indo Sawit Perkasa. Multiple
555,1,1,1,1,0,0,"The grievance against Leuser Ecosystem alleges deforestation and peatland development, specifically land clearing inside the protected Rawa Singkil Wildlife"
556,0,1,1,1,0,0,"Mighty Earth reported deforestation by Mulia Sawit Group in April 2020, leading Hershey to issue a 'No Buy' order. Initially thought to be disconnected from He"
557,1,1,1,1,1,0,"Allegations of human rights and labor violations in Wilmar's supply chain in West Sumatra, Indonesia were reported by Forest Peoples Program in November"
558,1,1,1,1,0,0,"Allegations of deforestation and peatland development in the Leuser Ecosystem were raised against PT Laot Bangko, which was reportedly supplying Conflict"
559,1,0,0,0,1,0,Allegations of human rights and labor issues led to RSPO suspending Felda Global Ventures Holdings' certification processes. Hershey suspended FGV in D
560,1,1,1,1,0,0,"ANJ faced allegations of deforestation and peatland development according to Greenpeace's ""Final Countdown"" report. The grievance claims ANJ failed to pr"
561,1,0,1,0,0,0,"Greenpeace's ""Final Countdown"" report alleges Djarum/HPI Agro illegally cleared government protected peatland in West Kalimantan. Hershey notified suppli"
562,1,1,1,1,0,0,"Genting Plantations faced allegations of deforestation, peatland development, killing an orangutan, and illegal plantation development in Greenpeace's ""Final"
563,1,1,1,1,0,0,"Greenpeace's ""Final Countdown"" report alleges Indonusa Group lacks a public NDPE policy. The supplier is accused of deforestation and/or peatland develop"
564,1,1,1,1,0,0,"Greenpeace's ""Final Countdown"" report alleges Lembaga Tabung Haji lacks a public NDPE policy and is involved in deforestation and peatland development."
565,1,1,1,1,0,0,Greenpeace and Mighty Earth reported that NPC Resources has no NDPE policy and is allegedly involved in deforestation and peatland development. Hersh
566,1,1,1,1,0,0,"Greenpeace alleged that Sungai Budi has no public NDPE policy, is underreporting landbank to RSPO, and is involved in deforestation and peatland develop"
567,1,1,1,1,0,0,Mighty Earth reported allegations of deforestation and peatland development against PT Khatulistiwa Agro Abadi (First Borneo Group) in Rapid Response rep
568,1,1,1,1,0,1,Mighty Earth reported allegations of deforestation and peatland development against PT Borneo International Anugerah (First Borneo Group) in Rapid Respo
569,1,1,1,1,0,0,A grievance was raised against PT Pradiksi Gunatama (Jhonlin Group) for alleged deforestation and peatland development. Chain Reaction Research's articl
570,1,1,1,1,0,0,PT Prasetya Mitra Muda (Block II): Jalemo was reported for deforestation and peatland development in a Satelligence report shared by Robeco. Hershey may
571,1,1,1,1,0,0,Deforestation allegations were made against Sampoerna Group's timber arm as reported by AidEnvironment. The grievance involves deforestation and/or pea
572,1,1,1,1,0,0,"The grievance against YPJ Plantations alleges deforestation and peatland development. Hershey contacted direct suppliers AAK, Bunge, Cargill and Wilmar t"
573,0,1,1,0,0,1,A grievance was raised against PT Syaukath Sejahtera for allegedly purchasing FFB from PT Tualang Raya which cleared over 269 hectares of forest since J
574,0,1,1,1,0,1,PT Teupin Lada was alleged to be purchasing FFB from PT Indo Alam who was deforesting the Leuser ecosystem. Hershey issued a 'No buy' order for PT Ind
575,0,1,1,1,0,1,AAK was accused of sourcing palm oil from Tesso Nilo Nature Reserve in Indonesia where deforestation occurred. AAK proactively informed Hershey about t
576,1,1,1,0,0,0,Kahayan Agro is accused of clearing High Carbon Stock Forest without following proper HCSA Steering Group peer review protocols. Hershey engaged with
577,1,1,1,1,0,0,"The grievance against Wilmar, a supplier connected to Hershey, involves allegations of deforestation and fires in Indonesia as reported by Greenpeace. Wilm"
578,0,1,1,1,0,0,"Greenpeace's report alleges Bumitama Agri engaged in ""concession laundering"" to hide deforestation and circumvent RSPO rules. The supplier was accused"
579,1,1,1,1,0,0,"The grievance against Central Cipta Murdaya & Hardaya Inti Plantations alleges deforestation and peatland development, noting the lack of a NDPE policy. H"
580,0,1,1,1,0,0,"Greenpeace's ""Final Countdown"" report and Mighty Earth allege deforestation in Gama Plantation/KPN Corporation's concessions. Hershey notified direct su"
581,0,0,1,1,0,0,"This grievance involves PT Karangjuang Hijau Lestari (PT KHL) and PT Bulungan Hijau Perkasa (PT BHP), subsidiaries of FAP Agri Plantation company in N"
582,0,1,1,1,0,0,"A grievance was filed against First Resources (FR) Sulaidy regarding deforestation around the KAL mill in Indonesia. Starling has recorded over 18,000 hecta"
584,0,1,0,0,0,0,"The grievance alleges that Astra Agro Lestari (AAL) failed to obtain Free, Prior and Informed Consent (FPIC) for developing its concessions in Indonesia. Sev"
585,0,1,0,0,0,0,A grievance was submitted to US Customs and Border Protection alleging forced labor against IOI Corp Bhd in Malaysia. The letter submitted by Andy Hall sp
586,0,0,0,0,1,0,"A grievance was filed against IOI Corp Bhd's Mekassar estate in Malaysia, alleging unacceptable living conditions and failure to meet expected working stand"
587,0,1,0,0,0,1,A grievance has been filed against Industrial Chiquibui in Guatemala by the National Council of Displaced Guatemalans (CONDEG). The concerns include all
588,0,1,1,1,0,0,"Mighty Earth reported that Widya Corporation's PT MIP was involved in over 2,000 hectares of deforestation between May 2018-January 2020, despite claims"
589,0,1,1,1,1,0,"A grievance was filed against East New Britain Resources Group (ENB), Tobar, and Gilford alleging large-scale deforestation, human rights abuses, corruptio"
590,0,1,1,0,0,0,Rainforest Action Network reported that Bumi Sama Ganda mill (BSG) received palm fruit from Nia Yulided Bersaudara (NYB) concessions for two weeks in N
591,0,1,1,1,0,0,"A grievance has been filed against GAR, Sulaidy, and PP London Sumatra Indonesia/Salim Ivomas Pratama for allegedly failing to meet their plasma commit"
592,0,1,1,1,0,0,"A grievance has been filed against the Sultan of Johor, Mr. Chow Chuin Hai, FELCRA Berhad, and FGV regarding alleged forest reserve clearance in the Jem"
593,0,1,1,1,0,0,Mighty Earth reported deforestation in concessions linked to PT Teguhkarsa Wanalestari and other companies in Indonesia. Between April 2021 and March 2
594,0,1,1,1,0,0,"A grievance was filed by Mighty Earth against Mukti Group, Murdaya Family, and Shin Yang Group regarding deforestation at PT Sandai Makmur Sawit (PT S"
595,0,1,1,0,0,0,"Forest Peoples Programme (FPP) has filed a grievance against First Resources, FAP Agri, and CAA Group, alleging they are part of the same corporate grou"
596,0,1,1,1,0,0,"A grievance has been filed against PT ASM regarding deforestation that occurred in Q2/Q3 2022, confirmed by Starling satellite monitoring. The case is conne"
597,0,1,1,1,0,0,"The grievance concerns PT SIL & SIP (Sebakis Inti Lestari and Sebuku Inti Plantation) in Indonesia, featured in a Mighty Earth report and verified by Starling."
598,0,1,1,1,0,0,The grievance involves a report by Rainforest Action Network (RAN) showing evidence of palm oil sourcing from illegal plantations within the federally protect
599,0,1,1,1,0,1,"This grievance concerns the deforestation of Tesso Nilo national park in Indonesia, where approximately 50% of the total area was cleared by 2016, with rece"
600,0,1,1,1,0,0,"Mighty Earth's Rapid Response Report 42 reported peat deforestation in PT. Alam Sari Lestari concession in Riau, Indonesia. According to Starling Analysis, c"
